date,cloudCover_aguada
04/13/2017 15:00,0.46
04/13/2017 16:00,0.45
04/13/2017 17:00,0.44
04/13/2017 18:00,0.43
04/13/2017 19:00,0.42
04/13/2017 20:00,0.41
04/13/2017 21:00,0.25
04/13/2017 22:00,0.2
04/13/2017 23:00,0.2
04/14/2017 00:00,0.09
04/14/2017 01:00,0.09
04/14/2017 02:00,0.1
04/14/2017 03:00,0.11
04/14/2017 04:00,0.13
04/14/2017 05:00,0.09
04/14/2017 06:00,0.33
04/14/2017 07:00,0.28
04/14/2017 08:00,0.28
04/14/2017 09:00,0.33
04/14/2017 10:00,0.4
04/14/2017 11:00,0.26
04/14/2017 12:00,0.34
04/14/2017 13:00,0.44
04/14/2017 14:00,0.51
