created_at,text,polarity
Sat Feb 25 14:12:33 +0000 2017,"(Baltimore Sun) #Starting midfield for #Salisbury men's lacrosse is still developing chemistry, producing.. https://t.co/AUT93cpDKH",positive
Sat Feb 25 14:12:33 +0000 2017,"@twoodle_05
Still holding out for this:
https://t.co/qjp2b5bvU6",positive
Sat Feb 25 14:12:33 +0000 2017,RT @RBHSBaseball: Congrats to our JV team on winning game 2 tonight vs AC Flora 10-9! #gogators,positive
Sat Feb 25 14:12:33 +0000 2017,I liked a @YouTube video https://t.co/fU87DOFlnX Moldavite Podcast Epi 7: Making POWERFUL Moldavite Meditation Oil!!!,positive
Sat Feb 25 14:12:33 +0000 2017,Why is this news? https://t.co/Ym52e2FIXs,positive
Sat Feb 25 14:12:33 +0000 2017,RT @NRDC: Solar jobs are soaring as Maryland prioritizes renewable energy. https://t.co/iEQpGSlAkF via @baltimoresun,positive
Sat Feb 25 14:12:33 +0000 2017,Honeywell MP08CESWW 8000 BTU Portable Air Conditioner with Front Grille and https://t.co/ecQJX07hH3 https://t.co/EhkqDExNSE,positive
Sat Feb 25 14:12:33 +0000 2017,(Miami Herald) #Israel military fire tear gas to disperse #Lebanese protest : Lebanon's national news agency.. https://t.co/1KEkWdpqAT,positive
Sat Feb 25 14:12:33 +0000 2017,@awlisaaa light lebih keren,positive
Sat Feb 25 14:12:34 +0000 2017,power twt na guyssss #HappyBirthdayBrentParaiso https://t.co/luNHJWmZQG,positive
Sat Feb 25 14:12:34 +0000 2017,*backflips out of work today because his prep is done and boss is getting crazy*,positive
Sat Feb 25 14:12:34 +0000 2017,"RT @girlgroupzhoe: D.ana and New Sun (Sonamoo)
Deja Vu https://t.co/4RqBvsrBB9",positive
Sat Feb 25 14:12:34 +0000 2017,RT @Dakkar1970: The power of brainwaves and Words. by @Dakkar1970 https://t.co/RX6LIRV9Kh via @SlideShare,positive
Sat Feb 25 14:12:34 +0000 2017,"RT @Lutziek: I'm a kite 
you are the wind
Without you i am powerless
You are the power 
That makes me fly 
My silent wings..",positive
Sat Feb 25 14:12:34 +0000 2017,Finally done with the course work..!,positive
Sat Feb 25 14:12:35 +0000 2017,"RT @TeamDivident: Application
-Past clans
-Current clans
-Age
-Activeness 1-10
-Must get recommended by people
Reply your application",positive
