date,lbmp_PJM,load
04/11/2017 00:00,16.4,13308.0
04/11/2017 01:00,15.72,12842.0
04/11/2017 02:00,14.89,12563.0
04/11/2017 03:00,14.7,12508.0
04/11/2017 04:00,15.57,12737.0
04/11/2017 05:00,15.96,13601.0
04/11/2017 06:00,25.4,15079.0
04/11/2017 07:00,28.36,16210.0
04/11/2017 08:00,31.59,16889.0
04/11/2017 09:00,34.67,17137.0
04/11/2017 10:00,30.88,17224.0
04/11/2017 11:00,32.65,17246.0
04/11/2017 12:00,32.94,17149.0
04/11/2017 13:00,31.89,17137.0
04/11/2017 14:00,31.52,17107.0
04/11/2017 15:00,30.9,17142.0
04/11/2017 16:00,33.22,17193.0
04/11/2017 17:00,32.8,17356.0
04/11/2017 18:00,32.83,17256.0
04/11/2017 19:00,36.46,17482.0
04/11/2017 20:00,40.6,17684.0
04/11/2017 21:00,32.51,16878.0
04/11/2017 22:00,25.0,15680.0
04/11/2017 23:00,18.17,14460.0
