date,description,precipitation,temperature,humidity,wind,icon
"Thu 02, Mar 2017 10:00 AM",Clear,11%,77 F,54%,NE 4.45 mph,clear-day
"Thu 02, Mar 2017 11:00 AM",Clear,7%,82 F,57%,NE 8.95 mph,clear-day
"Thu 02, Mar 2017 12:00 PM",Partly Cloudy,1%,82 F,60%,NE 10.57 mph,partly-cloudy-day
"Thu 02, Mar 2017 1:00 PM",Partly Cloudy,0%,82 F,62%,NE 11.89 mph,partly-cloudy-day
"Thu 02, Mar 2017 2:00 PM",Drizzle,0%,81 F,66%,NE 11.77 mph,rain
"Thu 02, Mar 2017 3:00 PM",Partly Cloudy,1%,81 F,68%,NE 11.21 mph,partly-cloudy-day
"Thu 02, Mar 2017 4:00 PM",Partly Cloudy,6%,81 F,69%,NE 11.38 mph,partly-cloudy-day
"Thu 02, Mar 2017 5:00 PM",Partly Cloudy,6%,80 F,70%,NE 10.86 mph,partly-cloudy-day
"Thu 02, Mar 2017 6:00 PM",Partly Cloudy,7%,79 F,71%,NE 10.28 mph,partly-cloudy-day
"Thu 02, Mar 2017 7:00 PM",Clear,8%,78 F,74%,NE 9.95 mph,clear-night
"Thu 02, Mar 2017 8:00 PM",Clear,5%,77 F,76%,NE 10.56 mph,clear-night
"Thu 02, Mar 2017 9:00 PM",Clear,2%,76 F,78%,NE 11.23 mph,clear-night
"Thu 02, Mar 2017 10:00 PM",Clear,0%,76 F,80%,NE 11.67 mph,clear-night
"Thu 02, Mar 2017 11:00 PM",Clear,0%,75 F,82%,NE 11.83 mph,clear-night
"Fri 03, Mar 2017 12:00 AM",Clear,0%,75 F,83%,E 11.81 mph,clear-night
"Fri 03, Mar 2017 1:00 AM",Clear,0%,75 F,84%,ENE 11.7 mph,clear-night
"Fri 03, Mar 2017 2:00 AM",Clear,0%,75 F,84%,ENE 11.48 mph,clear-night
"Fri 03, Mar 2017 3:00 AM",Clear,8%,75 F,84%,ENE 11.17 mph,clear-night
"Fri 03, Mar 2017 4:00 AM",Clear,28%,75 F,84%,ENE 11.13 mph,clear-night
"Fri 03, Mar 2017 5:00 AM",Clear,16%,75 F,84%,ENE 11.03 mph,clear-night
"Fri 03, Mar 2017 6:00 AM",Clear,15%,75 F,83%,ENE 10.56 mph,clear-night
"Fri 03, Mar 2017 7:00 AM",Clear,6%,75 F,83%,ENE 10.79 mph,clear-day
"Fri 03, Mar 2017 8:00 AM",Clear,7%,75 F,81%,NE 11.28 mph,clear-day
"Fri 03, Mar 2017 9:00 AM",Clear,9%,76 F,77%,NE 11.53 mph,clear-day
