date,description,precipitation,temperature,humidity,wind
"Mon 27, Feb 2017 5:00 PM",Light Rain,2%,80 F,64%,NE 4.7 mph
"Mon 27, Feb 2017 6:00 PM",Partly Cloudy,3%,78 F,70%,NE 7.98 mph
"Mon 27, Feb 2017 7:00 PM",Drizzle,11%,78 F,74%,NE 9.4 mph
"Mon 27, Feb 2017 8:00 PM",Clear,27%,77 F,78%,NE 10.92 mph
"Mon 27, Feb 2017 9:00 PM",Clear,42%,77 F,81%,NE 12.34 mph
"Mon 27, Feb 2017 10:00 PM",Clear,50%,77 F,83%,NNE 13.18 mph
"Mon 27, Feb 2017 11:00 PM",Clear,50%,77 F,85%,NNE 14.56 mph
"Tue 28, Feb 2017 12:00 AM",Partly Cloudy,63%,76 F,86%,NNE 13.89 mph
"Tue 28, Feb 2017 1:00 AM",Partly Cloudy,7%,76 F,86%,NNE 13 mph
"Tue 28, Feb 2017 2:00 AM",Partly Cloudy,38%,76 F,86%,NNE 12.61 mph
"Tue 28, Feb 2017 3:00 AM",Partly Cloudy,1%,76 F,86%,NNE 12.55 mph
"Tue 28, Feb 2017 4:00 AM",Partly Cloudy,0%,76 F,86%,NNE 12.25 mph
"Tue 28, Feb 2017 5:00 AM",Partly Cloudy,0%,76 F,86%,NNE 12.4 mph
"Tue 28, Feb 2017 6:00 AM",Clear,2%,76 F,85%,NNE 12.54 mph
"Tue 28, Feb 2017 7:00 AM",Clear,4%,76 F,84%,NNE 13.13 mph
"Tue 28, Feb 2017 8:00 AM",Partly Cloudy,3%,76 F,82%,NNE 11.89 mph
"Tue 28, Feb 2017 9:00 AM",Partly Cloudy,5%,77 F,75%,NNE 12.91 mph
"Tue 28, Feb 2017 10:00 AM",Partly Cloudy,5%,80 F,70%,NNE 13.18 mph
"Tue 28, Feb 2017 11:00 AM",Partly Cloudy,4%,84 F,68%,NNE 12.81 mph
"Tue 28, Feb 2017 12:00 PM",Partly Cloudy,2%,83 F,72%,NNE 13.23 mph
"Tue 28, Feb 2017 1:00 PM",Drizzle,1%,83 F,73%,NNE 14.01 mph
"Tue 28, Feb 2017 2:00 PM",Drizzle,1%,82 F,74%,NNE 13.73 mph
"Tue 28, Feb 2017 3:00 PM",Light Rain,0%,82 F,73%,NE 15.52 mph
"Tue 28, Feb 2017 4:00 PM",Light Rain,0%,82 F,73%,NE 15.67 mph
