date,description,precipitation,cloudCover,temperature,humidity,wind
"Thu 13, Apr 2017 3:00 PM",Partly Cloudy,22%,46%,80 F,73%,N 7.25 mph
"Thu 13, Apr 2017 4:00 PM",Partly Cloudy,18%,45%,79 F,75%,N 8.7 mph
"Thu 13, Apr 2017 5:00 PM",Partly Cloudy,14%,44%,78 F,76%,N 9.52 mph
"Thu 13, Apr 2017 6:00 PM",Partly Cloudy,7%,43%,78 F,78%,N 9.64 mph
"Thu 13, Apr 2017 7:00 PM",Partly Cloudy,2%,42%,78 F,80%,N 9.1 mph
"Thu 13, Apr 2017 8:00 PM",Partly Cloudy,0%,41%,77 F,82%,NNE 8.06 mph
"Thu 13, Apr 2017 9:00 PM",Partly Cloudy,0%,25%,76 F,83%,NNE 7.33 mph
"Thu 13, Apr 2017 10:00 PM",Clear,0%,20%,76 F,83%,NNE 6.63 mph
"Thu 13, Apr 2017 11:00 PM",Clear,0%,20%,76 F,84%,NNE 6.38 mph
"Fri 14, Apr 2017 12:00 AM",Clear,0%,9%,76 F,85%,NNE 6.17 mph
"Fri 14, Apr 2017 1:00 AM",Clear,0%,9%,76 F,85%,NNE 5.91 mph
"Fri 14, Apr 2017 2:00 AM",Clear,0%,10%,76 F,86%,NNE 5.69 mph
"Fri 14, Apr 2017 3:00 AM",Clear,0%,11%,76 F,86%,NNE 5.1 mph
"Fri 14, Apr 2017 4:00 AM",Clear,4%,13%,76 F,86%,NE 4.94 mph
"Fri 14, Apr 2017 5:00 AM",Clear,5%,9%,76 F,86%,NE 4.47 mph
"Fri 14, Apr 2017 6:00 AM",Partly Cloudy,6%,33%,77 F,86%,NNE 4.53 mph
"Fri 14, Apr 2017 7:00 AM",Partly Cloudy,1%,28%,77 F,85%,NNE 4.26 mph
"Fri 14, Apr 2017 8:00 AM",Partly Cloudy,1%,28%,77 F,84%,NNE 4.52 mph
"Fri 14, Apr 2017 9:00 AM",Partly Cloudy,1%,33%,78 F,81%,NNE 4.29 mph
"Fri 14, Apr 2017 10:00 AM",Partly Cloudy,2%,40%,81 F,78%,NNE 3.54 mph
"Fri 14, Apr 2017 11:00 AM",Partly Cloudy,10%,26%,83 F,76%,N 2.91 mph
"Fri 14, Apr 2017 12:00 PM",Drizzle,49%,34%,84 F,75%, 3.12 mph
"Fri 14, Apr 2017 1:00 PM",Light Rain,58%,44%,84 F,77%,NWN 3.83 mph
"Fri 14, Apr 2017 2:00 PM",Light Rain,61%,51%,83 F,78%,NWN 4.37 mph
