date,description,precipitation,temperature,humidity,wind,icon
"Sun 02, Apr 2017 12:00 AM",Clear,0%,77 F,89%,NE 5.57 mph,clear-night
"Sun 02, Apr 2017 1:00 AM",Clear,0%,76 F,90%,NE 5.74 mph,clear-night
"Sun 02, Apr 2017 2:00 AM",Clear,0%,76 F,90%,ENE 5.93 mph,clear-night
"Sun 02, Apr 2017 3:00 AM",Clear,0%,76 F,90%,ENE 5.82 mph,clear-night
"Sun 02, Apr 2017 4:00 AM",Clear,0%,75 F,90%,ENE 4.94 mph,clear-night
"Sun 02, Apr 2017 5:00 AM",Clear,0%,75 F,89%,ENE 4 mph,clear-night
"Sun 02, Apr 2017 6:00 AM",Clear,0%,76 F,89%,ENE 3.47 mph,clear-night
"Sun 02, Apr 2017 7:00 AM",Clear,0%,77 F,88%,NE 3.61 mph,clear-day
"Sun 02, Apr 2017 8:00 AM",Clear,0%,79 F,86%,NE 3.63 mph,clear-day
"Sun 02, Apr 2017 9:00 AM",Clear,0%,81 F,82%,NNE 3.69 mph,clear-day
"Sun 02, Apr 2017 10:00 AM",Clear,0%,84 F,79%,NNE 3.67 mph,clear-day
"Sun 02, Apr 2017 11:00 AM",Clear,0%,86 F,77%,N 4.03 mph,clear-day
"Sun 02, Apr 2017 12:00 PM",Partly Cloudy,10%,88 F,77%,N 4.94 mph,partly-cloudy-day
"Sun 02, Apr 2017 1:00 PM",Light Rain,51%,87 F,79%, 5.97 mph,rain
"Sun 02, Apr 2017 2:00 PM",Light Rain,53%,85 F,81%, 7.37 mph,rain
"Sun 02, Apr 2017 3:00 PM",Light Rain,55%,83 F,82%, 8.16 mph,rain
"Sun 02, Apr 2017 4:00 PM",Light Rain,57%,83 F,82%,N 8.38 mph,rain
"Sun 02, Apr 2017 5:00 PM",Light Rain,58%,82 F,83%,N 8.56 mph,rain
"Sun 02, Apr 2017 6:00 PM",Light Rain,55%,80 F,85%,N 8.59 mph,rain
"Sun 02, Apr 2017 7:00 PM",Drizzle,32%,79 F,88%,NNE 8.49 mph,rain
"Sun 02, Apr 2017 8:00 PM",Partly Cloudy,1%,78 F,90%,NNE 8.81 mph,partly-cloudy-night
"Sun 02, Apr 2017 9:00 PM",Partly Cloudy,0%,78 F,91%,NNE 9.05 mph,partly-cloudy-night
"Sun 02, Apr 2017 10:00 PM",Partly Cloudy,0%,78 F,91%,NNE 9.15 mph,partly-cloudy-night
"Sun 02, Apr 2017 11:00 PM",Mostly Cloudy,0%,78 F,91%,NNE 9.1 mph,partly-cloudy-night
