date,description,precipitation,temperature,humidity,wind,icon
"Sat 01, Apr 2017 12:00 AM",Partly Cloudy,0%,71 F,82%,NE 5.53 mph,partly-cloudy-night
"Sat 01, Apr 2017 1:00 AM",Partly Cloudy,0%,71 F,84%,NE 5.95 mph,partly-cloudy-night
"Sat 01, Apr 2017 2:00 AM",Partly Cloudy,0%,71 F,85%,NE 5.88 mph,partly-cloudy-night
"Sat 01, Apr 2017 3:00 AM",Partly Cloudy,0%,71 F,86%,NE 5.77 mph,partly-cloudy-night
"Sat 01, Apr 2017 4:00 AM",Partly Cloudy,0%,71 F,87%,NE 5.31 mph,partly-cloudy-night
"Sat 01, Apr 2017 5:00 AM",Partly Cloudy,0%,71 F,87%,ENE 5.35 mph,partly-cloudy-night
"Sat 01, Apr 2017 6:00 AM",Partly Cloudy,0%,71 F,87%,ENE 5.39 mph,partly-cloudy-night
"Sat 01, Apr 2017 7:00 AM",Partly Cloudy,0%,73 F,87%,ENE 5.27 mph,partly-cloudy-day
"Sat 01, Apr 2017 8:00 AM",Partly Cloudy,0%,77 F,82%,ENE 6.21 mph,partly-cloudy-day
"Sat 01, Apr 2017 9:00 AM",Partly Cloudy,0%,81 F,78%,ENE 6.94 mph,partly-cloudy-day
"Sat 01, Apr 2017 10:00 AM",Partly Cloudy,0%,85 F,73%,ENE 7.39 mph,partly-cloudy-day
"Sat 01, Apr 2017 11:00 AM",Partly Cloudy,2%,89 F,70%,ENE 7.85 mph,partly-cloudy-day
"Sat 01, Apr 2017 12:00 PM",Drizzle,41%,90 F,70%,E 7.96 mph,rain
"Sat 01, Apr 2017 1:00 PM",Light Rain,61%,90 F,70%,E 7.89 mph,rain
"Sat 01, Apr 2017 2:00 PM",Light Rain,64%,88 F,71%,E 7.21 mph,rain
"Sat 01, Apr 2017 3:00 PM",Light Rain,67%,85 F,72%,E 6.92 mph,rain
"Sat 01, Apr 2017 4:00 PM",Light Rain,70%,84 F,74%,E 7.46 mph,rain
"Sat 01, Apr 2017 5:00 PM",Light Rain,72%,82 F,75%,ENE 7.68 mph,rain
"Sat 01, Apr 2017 6:00 PM",Light Rain,71%,80 F,79%,ENE 7.37 mph,rain
"Sat 01, Apr 2017 7:00 PM",Light Rain,68%,78 F,82%,ENE 6.67 mph,rain
"Sat 01, Apr 2017 8:00 PM",Light Rain,62%,76 F,86%,ENE 6.06 mph,rain
"Sat 01, Apr 2017 9:00 PM",Light Rain,56%,75 F,86%,ENE 5.42 mph,rain
"Sat 01, Apr 2017 10:00 PM",Drizzle,35%,75 F,87%,ENE 5.01 mph,rain
"Sat 01, Apr 2017 11:00 PM",Partly Cloudy,7%,74 F,90%,ENE 4.8 mph,partly-cloudy-night
