date,description,precipitation,temperature,humidity,wind,icon
"Sun 02, Apr 2017 12:00 AM",Clear,0%,77 F,88%,NE 5.2 mph,clear-night
"Sun 02, Apr 2017 1:00 AM",Clear,0%,77 F,89%,NE 5.41 mph,clear-night
"Sun 02, Apr 2017 2:00 AM",Clear,0%,77 F,89%,NE 5.91 mph,clear-night
"Sun 02, Apr 2017 3:00 AM",Clear,0%,76 F,89%,ENE 5.98 mph,clear-night
"Sun 02, Apr 2017 4:00 AM",Clear,0%,76 F,89%,ENE 5.74 mph,clear-night
"Sun 02, Apr 2017 5:00 AM",Clear,0%,76 F,88%,ENE 5.08 mph,clear-night
"Sun 02, Apr 2017 6:00 AM",Clear,0%,77 F,88%,ENE 4.71 mph,clear-night
"Sun 02, Apr 2017 7:00 AM",Clear,0%,77 F,88%,ENE 4.62 mph,clear-day
"Sun 02, Apr 2017 8:00 AM",Clear,0%,79 F,85%,NE 5.02 mph,clear-day
"Sun 02, Apr 2017 9:00 AM",Clear,0%,82 F,81%,NE 4.4 mph,clear-day
"Sun 02, Apr 2017 10:00 AM",Clear,0%,85 F,78%,ENE 4.11 mph,clear-day
"Sun 02, Apr 2017 11:00 AM",Clear,1%,87 F,75%,NNE 1.23 mph,clear-day
"Sun 02, Apr 2017 12:00 PM",Drizzle,24%,87 F,76%, 0.98 mph,rain
"Sun 02, Apr 2017 1:00 PM",Light Rain,55%,86 F,78%,NW 1.99 mph,rain
"Sun 02, Apr 2017 2:00 PM",Light Rain,59%,85 F,80%,NWN 4.5 mph,rain
"Sun 02, Apr 2017 3:00 PM",Light Rain,62%,83 F,81%,NWN 3.7 mph,rain
"Sun 02, Apr 2017 4:00 PM",Light Rain,65%,82 F,82%, 3.94 mph,rain
"Sun 02, Apr 2017 5:00 PM",Light Rain,66%,81 F,83%,N 4.42 mph,rain
"Sun 02, Apr 2017 6:00 PM",Light Rain,63%,80 F,84%,N 5.08 mph,rain
"Sun 02, Apr 2017 7:00 PM",Light Rain,53%,79 F,87%,NNE 5.71 mph,rain
"Sun 02, Apr 2017 8:00 PM",Partly Cloudy,3%,78 F,89%,NNE 6.51 mph,partly-cloudy-night
"Sun 02, Apr 2017 9:00 PM",Partly Cloudy,0%,78 F,90%,NNE 7.01 mph,partly-cloudy-night
"Sun 02, Apr 2017 10:00 PM",Partly Cloudy,0%,78 F,90%,NNE 7.33 mph,partly-cloudy-night
"Sun 02, Apr 2017 11:00 PM",Partly Cloudy,0%,78 F,90%,NNE 7.53 mph,partly-cloudy-night
