date,description,precipitation,temperature,humidity,wind,icon
"Sat 01, Apr 2017 12:00 AM",Partly Cloudy,0%,74 F,84%,ENE 7.12 mph,partly-cloudy-night
"Sat 01, Apr 2017 1:00 AM",Partly Cloudy,0%,73 F,84%,ENE 6.88 mph,partly-cloudy-night
"Sat 01, Apr 2017 2:00 AM",Partly Cloudy,0%,73 F,85%,ENE 6.76 mph,partly-cloudy-night
"Sat 01, Apr 2017 3:00 AM",Clear,0%,73 F,85%,ENE 6.69 mph,clear-night
"Sat 01, Apr 2017 4:00 AM",Clear,0%,73 F,86%,ENE 6.62 mph,clear-night
"Sat 01, Apr 2017 5:00 AM",Clear,0%,73 F,86%,ENE 6.44 mph,clear-night
"Sat 01, Apr 2017 6:00 AM",Partly Cloudy,0%,73 F,86%,ENE 5.86 mph,partly-cloudy-night
"Sat 01, Apr 2017 7:00 AM",Partly Cloudy,0%,74 F,86%,ENE 5.82 mph,partly-cloudy-day
"Sat 01, Apr 2017 8:00 AM",Partly Cloudy,0%,78 F,83%,ENE 5.68 mph,partly-cloudy-day
"Sat 01, Apr 2017 9:00 AM",Clear,0%,82 F,78%,ENE 5.84 mph,clear-day
"Sat 01, Apr 2017 10:00 AM",Clear,0%,86 F,75%,NE 6.43 mph,clear-day
"Sat 01, Apr 2017 11:00 AM",Clear,0%,90 F,73%,NE 6.57 mph,clear-day
"Sat 01, Apr 2017 12:00 PM",Light Rain,51%,91 F,74%,NNE 7.37 mph,rain
"Sat 01, Apr 2017 1:00 PM",Light Rain,62%,88 F,77%,NNE 7.83 mph,rain
"Sat 01, Apr 2017 2:00 PM",Light Rain,67%,86 F,80%,NNE 7.99 mph,rain
"Sat 01, Apr 2017 3:00 PM",Light Rain,71%,82 F,83%,NNE 8.46 mph,rain
"Sat 01, Apr 2017 4:00 PM",Rain,76%,81 F,85%,NNE 8.44 mph,rain
"Sat 01, Apr 2017 5:00 PM",Rain,78%,80 F,87%,NE 8.12 mph,rain
"Sat 01, Apr 2017 6:00 PM",Rain,77%,79 F,89%,NE 7.7 mph,rain
"Sat 01, Apr 2017 7:00 PM",Light Rain,73%,78 F,90%,NE 7.32 mph,rain
"Sat 01, Apr 2017 8:00 PM",Light Rain,65%,77 F,91%,ENE 7.45 mph,rain
"Sat 01, Apr 2017 9:00 PM",Light Rain,54%,76 F,91%,ENE 7.08 mph,rain
"Sat 01, Apr 2017 10:00 PM",Drizzle,21%,76 F,91%,ENE 6.67 mph,rain
"Sat 01, Apr 2017 11:00 PM",Clear,0%,75 F,91%,E 6.26 mph,clear-night
