date,description,precipitation,temperature,humidity,wind,icon
"Fri 24, Mar 2017 12:00 AM",Light Rain,53%,75 F,91%,NE 2.24 mph,rain
"Fri 24, Mar 2017 1:00 AM",Light Rain,59%,75 F,92%,NE 2.97 mph,rain
"Fri 24, Mar 2017 2:00 AM",Light Rain,63%,75 F,92%,NE 3.05 mph,rain
"Fri 24, Mar 2017 3:00 AM",Light Rain,63%,76 F,91%,NE 3.28 mph,rain
"Fri 24, Mar 2017 4:00 AM",Light Rain,53%,76 F,92%,NE 3.6 mph,rain
"Fri 24, Mar 2017 5:00 AM",Light Rain,51%,76 F,92%,NE 3.89 mph,rain
"Fri 24, Mar 2017 6:00 AM",Light Rain,52%,75 F,92%,NE 4.02 mph,rain
"Fri 24, Mar 2017 7:00 AM",Light Rain,50%,75 F,91%,NE 4.29 mph,rain
"Fri 24, Mar 2017 8:00 AM",Light Rain,54%,76 F,88%,NE 4.65 mph,rain
"Fri 24, Mar 2017 9:00 AM",Light Rain,62%,80 F,84%,ENE 5.44 mph,rain
"Fri 24, Mar 2017 10:00 AM",Light Rain,67%,82 F,83%,ENE 6.56 mph,rain
"Fri 24, Mar 2017 11:00 AM",Light Rain,68%,81 F,82%,E 7.4 mph,rain
"Fri 24, Mar 2017 12:00 PM",Light Rain,63%,81 F,82%,E 7.86 mph,rain
"Fri 24, Mar 2017 1:00 PM",Light Rain,65%,81 F,82%,E 8.25 mph,rain
"Fri 24, Mar 2017 2:00 PM",Light Rain,69%,80 F,83%,E 7.99 mph,rain
"Fri 24, Mar 2017 3:00 PM",Light Rain,69%,80 F,83%,E 7.88 mph,rain
"Fri 24, Mar 2017 4:00 PM",Light Rain,68%,79 F,83%,E 8.09 mph,rain
"Fri 24, Mar 2017 5:00 PM",Light Rain,66%,78 F,83%,E 8.08 mph,rain
"Fri 24, Mar 2017 6:00 PM",Light Rain,64%,77 F,85%,E 7.28 mph,rain
"Fri 24, Mar 2017 7:00 PM",Light Rain,59%,77 F,87%,E 6.07 mph,rain
"Fri 24, Mar 2017 8:00 PM",Light Rain,52%,76 F,88%,E 5.24 mph,rain
"Fri 24, Mar 2017 9:00 PM",Drizzle,47%,76 F,88%,E 5.36 mph,rain
"Fri 24, Mar 2017 10:00 PM",Drizzle,44%,77 F,88%,E 5.87 mph,rain
"Fri 24, Mar 2017 11:00 PM",Light Rain,51%,77 F,88%,E 6.29 mph,rain
