date,description,precipitation,temperature,humidity,wind,icon
"Sun 02, Apr 2017 12:00 AM",Clear,0%,75 F,87%,NE 4.59 mph,clear-night
"Sun 02, Apr 2017 1:00 AM",Partly Cloudy,0%,75 F,88%,ENE 5.14 mph,partly-cloudy-night
"Sun 02, Apr 2017 2:00 AM",Partly Cloudy,0%,75 F,88%,ENE 5.35 mph,partly-cloudy-night
"Sun 02, Apr 2017 3:00 AM",Partly Cloudy,0%,75 F,90%,E 5.36 mph,partly-cloudy-night
"Sun 02, Apr 2017 4:00 AM",Partly Cloudy,0%,74 F,90%,E 5.22 mph,partly-cloudy-night
"Sun 02, Apr 2017 5:00 AM",Partly Cloudy,0%,74 F,89%,E 4.78 mph,partly-cloudy-night
"Sun 02, Apr 2017 6:00 AM",Mostly Cloudy,0%,74 F,89%,E 4.23 mph,partly-cloudy-night
"Sun 02, Apr 2017 7:00 AM",Mostly Cloudy,1%,75 F,89%,E 4.11 mph,partly-cloudy-day
"Sun 02, Apr 2017 8:00 AM",Mostly Cloudy,1%,78 F,85%,ENE 4.22 mph,partly-cloudy-day
"Sun 02, Apr 2017 9:00 AM",Mostly Cloudy,0%,81 F,80%,ENE 4.46 mph,partly-cloudy-day
"Sun 02, Apr 2017 10:00 AM",Partly Cloudy,0%,85 F,75%,NE 4.79 mph,partly-cloudy-day
"Sun 02, Apr 2017 11:00 AM",Partly Cloudy,1%,89 F,73%,NE 5.22 mph,partly-cloudy-day
"Sun 02, Apr 2017 12:00 PM",Partly Cloudy,11%,90 F,71%,NNE 5.77 mph,partly-cloudy-day
"Sun 02, Apr 2017 1:00 PM",Drizzle,34%,89 F,72%,NNE 6.4 mph,rain
"Sun 02, Apr 2017 2:00 PM",Light Rain,56%,87 F,72%,N 7.46 mph,rain
"Sun 02, Apr 2017 3:00 PM",Light Rain,64%,85 F,75%,N 8.16 mph,rain
"Sun 02, Apr 2017 4:00 PM",Light Rain,70%,83 F,76%,NNE 8.5 mph,rain
"Sun 02, Apr 2017 5:00 PM",Light Rain,73%,82 F,77%,NNE 8.65 mph,rain
"Sun 02, Apr 2017 6:00 PM",Light Rain,71%,80 F,80%,NNE 8.38 mph,rain
"Sun 02, Apr 2017 7:00 PM",Light Rain,64%,79 F,83%,NNE 7.87 mph,rain
"Sun 02, Apr 2017 8:00 PM",Drizzle,31%,77 F,86%,NE 7.55 mph,rain
"Sun 02, Apr 2017 9:00 PM",Mostly Cloudy,0%,77 F,87%,NE 7.45 mph,partly-cloudy-night
"Sun 02, Apr 2017 10:00 PM",Mostly Cloudy,0%,77 F,87%,NE 7.45 mph,partly-cloudy-night
"Sun 02, Apr 2017 11:00 PM",Mostly Cloudy,0%,77 F,91%,NNE 7.4 mph,partly-cloudy-night
