date,description,precipitation,temperature,humidity,wind,icon
"Mon 10, Apr 2017 12:00 AM",Light Rain,64%,76 F,89%,NNE 3.56 mph,rain
"Mon 10, Apr 2017 1:00 AM",Light Rain,66%,75 F,91%,NNE 4.22 mph,rain
"Mon 10, Apr 2017 2:00 AM",Light Rain,63%,76 F,90%,NE 4.13 mph,rain
"Mon 10, Apr 2017 3:00 AM",Light Rain,53%,75 F,90%,NE 4.22 mph,rain
"Mon 10, Apr 2017 4:00 AM",Drizzle,29%,75 F,90%,ENE 4.27 mph,rain
"Mon 10, Apr 2017 5:00 AM",Clear,0%,75 F,90%,ENE 4.6 mph,clear-night
"Mon 10, Apr 2017 6:00 AM",Partly Cloudy,0%,76 F,90%,ENE 4.53 mph,partly-cloudy-night
"Mon 10, Apr 2017 7:00 AM",Partly Cloudy,8%,77 F,88%,ENE 5.38 mph,partly-cloudy-day
"Mon 10, Apr 2017 8:00 AM",Partly Cloudy,14%,80 F,84%,ENE 6.12 mph,partly-cloudy-day
"Mon 10, Apr 2017 9:00 AM",Partly Cloudy,12%,82 F,80%,ENE 6.82 mph,partly-cloudy-day
"Mon 10, Apr 2017 10:00 AM",Drizzle,29%,84 F,77%,ENE 7.59 mph,rain
"Mon 10, Apr 2017 11:00 AM",Light Rain,53%,85 F,76%,ENE 8.68 mph,rain
"Mon 10, Apr 2017 12:00 PM",Light Rain,62%,86 F,75%,E 8.8 mph,rain
"Mon 10, Apr 2017 1:00 PM",Light Rain,69%,84 F,75%,E 8.2 mph,rain
"Mon 10, Apr 2017 2:00 PM",Light Rain,70%,82 F,76%,E 7.45 mph,rain
"Mon 10, Apr 2017 3:00 PM",Light Rain,70%,82 F,75%,E 7.54 mph,rain
"Mon 10, Apr 2017 4:00 PM",Light Rain,69%,81 F,75%,E 8.1 mph,rain
"Mon 10, Apr 2017 5:00 PM",Light Rain,67%,80 F,76%,ENE 8.43 mph,rain
"Mon 10, Apr 2017 6:00 PM",Light Rain,64%,79 F,78%,ENE 8.53 mph,rain
"Mon 10, Apr 2017 7:00 PM",Light Rain,61%,78 F,81%,ENE 8.5 mph,rain
"Mon 10, Apr 2017 8:00 PM",Light Rain,56%,76 F,83%,ENE 8.82 mph,rain
"Mon 10, Apr 2017 9:00 PM",Light Rain,50%,76 F,83%,ENE 8.7 mph,rain
"Mon 10, Apr 2017 10:00 PM",Drizzle,21%,76 F,85%,ENE 8.59 mph,rain
"Mon 10, Apr 2017 11:00 PM",Partly Cloudy,5%,75 F,85%,ENE 8.47 mph,partly-cloudy-night
