date,description,precipitation,temperature,humidity,wind,icon
"Sun 02, Apr 2017 12:00 AM",Partly Cloudy,0%,75 F,87%,NE 3.6 mph,partly-cloudy-night
"Sun 02, Apr 2017 1:00 AM",Partly Cloudy,0%,75 F,88%,NE 4.3 mph,partly-cloudy-night
"Sun 02, Apr 2017 2:00 AM",Partly Cloudy,0%,75 F,89%,ENE 4.61 mph,partly-cloudy-night
"Sun 02, Apr 2017 3:00 AM",Partly Cloudy,0%,75 F,90%,ENE 4.99 mph,partly-cloudy-night
"Sun 02, Apr 2017 4:00 AM",Partly Cloudy,0%,75 F,91%,ENE 5.26 mph,partly-cloudy-night
"Sun 02, Apr 2017 5:00 AM",Partly Cloudy,0%,75 F,90%,ENE 5.44 mph,partly-cloudy-night
"Sun 02, Apr 2017 6:00 AM",Partly Cloudy,1%,75 F,90%,ENE 5.36 mph,partly-cloudy-night
"Sun 02, Apr 2017 7:00 AM",Partly Cloudy,2%,75 F,89%,ENE 5.27 mph,partly-cloudy-day
"Sun 02, Apr 2017 8:00 AM",Partly Cloudy,2%,78 F,86%,ENE 5.47 mph,partly-cloudy-day
"Sun 02, Apr 2017 9:00 AM",Partly Cloudy,0%,81 F,81%,ENE 5.69 mph,partly-cloudy-day
"Sun 02, Apr 2017 10:00 AM",Partly Cloudy,0%,84 F,76%,ENE 6.03 mph,partly-cloudy-day
"Sun 02, Apr 2017 11:00 AM",Partly Cloudy,0%,86 F,73%,ENE 6.14 mph,partly-cloudy-day
"Sun 02, Apr 2017 12:00 PM",Partly Cloudy,1%,88 F,72%,ENE 6.46 mph,partly-cloudy-day
"Sun 02, Apr 2017 1:00 PM",Partly Cloudy,8%,89 F,71%,NE 6.5 mph,partly-cloudy-day
"Sun 02, Apr 2017 2:00 PM",Drizzle,37%,89 F,71%,NE 6.48 mph,rain
"Sun 02, Apr 2017 3:00 PM",Light Rain,63%,87 F,73%,NE 6.69 mph,rain
"Sun 02, Apr 2017 4:00 PM",Light Rain,70%,86 F,73%,NE 7.07 mph,rain
"Sun 02, Apr 2017 5:00 PM",Rain,73%,84 F,75%,NE 7.22 mph,rain
"Sun 02, Apr 2017 6:00 PM",Light Rain,72%,82 F,79%,NE 6.89 mph,rain
"Sun 02, Apr 2017 7:00 PM",Light Rain,64%,80 F,83%,NE 6.25 mph,rain
"Sun 02, Apr 2017 8:00 PM",Drizzle,39%,78 F,86%,NE 5.87 mph,rain
"Sun 02, Apr 2017 9:00 PM",Mostly Cloudy,8%,77 F,88%,NE 5.77 mph,partly-cloudy-night
"Sun 02, Apr 2017 10:00 PM",Partly Cloudy,9%,76 F,88%,NE 5.89 mph,partly-cloudy-night
"Sun 02, Apr 2017 11:00 PM",Mostly Cloudy,13%,75 F,91%,NE 5.99 mph,partly-cloudy-night
