date,description,precipitation,temperature,humidity,wind,icon
"Sun 02, Apr 2017 12:00 AM",Clear,0%,75 F,89%,NE 5.13 mph,clear-night
"Sun 02, Apr 2017 1:00 AM",Clear,0%,74 F,90%,NE 5.41 mph,clear-night
"Sun 02, Apr 2017 2:00 AM",Clear,0%,74 F,91%,ENE 5.41 mph,clear-night
"Sun 02, Apr 2017 3:00 AM",Clear,0%,74 F,91%,ENE 5.34 mph,clear-night
"Sun 02, Apr 2017 4:00 AM",Clear,0%,74 F,90%,E 4.93 mph,clear-night
"Sun 02, Apr 2017 5:00 AM",Clear,0%,74 F,90%,E 4.01 mph,clear-night
"Sun 02, Apr 2017 6:00 AM",Clear,0%,74 F,89%,ENE 3.33 mph,clear-night
"Sun 02, Apr 2017 7:00 AM",Partly Cloudy,0%,75 F,89%,ENE 3.49 mph,partly-cloudy-day
"Sun 02, Apr 2017 8:00 AM",Partly Cloudy,0%,78 F,86%,ENE 3.47 mph,partly-cloudy-day
"Sun 02, Apr 2017 9:00 AM",Clear,0%,81 F,82%,NE 3.71 mph,clear-day
"Sun 02, Apr 2017 10:00 AM",Clear,0%,85 F,78%,NNE 3.82 mph,clear-day
"Sun 02, Apr 2017 11:00 AM",Clear,2%,88 F,75%,NNE 4.4 mph,clear-day
"Sun 02, Apr 2017 12:00 PM",Partly Cloudy,20%,90 F,75%,N 4.96 mph,partly-cloudy-day
"Sun 02, Apr 2017 1:00 PM",Light Rain,53%,89 F,76%,N 5.72 mph,rain
"Sun 02, Apr 2017 2:00 PM",Light Rain,59%,86 F,78%,N 6.93 mph,rain
"Sun 02, Apr 2017 3:00 PM",Light Rain,63%,84 F,80%,N 7.53 mph,rain
"Sun 02, Apr 2017 4:00 PM",Light Rain,67%,83 F,80%,N 7.76 mph,rain
"Sun 02, Apr 2017 5:00 PM",Light Rain,69%,82 F,82%,N 8.01 mph,rain
"Sun 02, Apr 2017 6:00 PM",Light Rain,67%,80 F,85%,NNE 7.93 mph,rain
"Sun 02, Apr 2017 7:00 PM",Light Rain,58%,79 F,89%,NNE 7.61 mph,rain
"Sun 02, Apr 2017 8:00 PM",Partly Cloudy,7%,77 F,92%,NNE 7.59 mph,partly-cloudy-night
"Sun 02, Apr 2017 9:00 PM",Partly Cloudy,0%,76 F,93%,NNE 7.64 mph,partly-cloudy-night
"Sun 02, Apr 2017 10:00 PM",Partly Cloudy,0%,76 F,93%,NNE 7.63 mph,partly-cloudy-night
"Sun 02, Apr 2017 11:00 PM",Mostly Cloudy,0%,76 F,93%,NNE 7.59 mph,partly-cloudy-night
