date,description,precipitation,temperature,humidity,wind,icon
"Mon 10, Apr 2017 12:00 AM",Light Rain,70%,25 C,88%,NE 2.09 mph,rain
"Mon 10, Apr 2017 1:00 AM",Light Rain,70%,24 C,90%,NE 2.11 mph,rain
"Mon 10, Apr 2017 2:00 AM",Light Rain,66%,25 C,89%,NE 2.14 mph,rain
"Mon 10, Apr 2017 3:00 AM",Light Rain,57%,25 C,88%,NE 2.17 mph,rain
"Mon 10, Apr 2017 4:00 AM",Drizzle,29%,25 C,88%,ENE 1.95 mph,rain
"Mon 10, Apr 2017 5:00 AM",Clear,1%,24 C,89%,ENE 2.25 mph,clear-night
"Mon 10, Apr 2017 6:00 AM",Partly Cloudy,6%,24 C,88%,ENE 1.98 mph,partly-cloudy-night
"Mon 10, Apr 2017 7:00 AM",Drizzle,28%,25 C,87%,ENE 2.53 mph,rain
"Mon 10, Apr 2017 8:00 AM",Drizzle,29%,26 C,84%,E 2.92 mph,rain
"Mon 10, Apr 2017 9:00 AM",Light Rain,49%,27 C,81%,ENE 3.46 mph,rain
"Mon 10, Apr 2017 10:00 AM",Light Rain,59%,28 C,78%,ENE 3.94 mph,rain
"Mon 10, Apr 2017 11:00 AM",Light Rain,56%,29 C,78%,ENE 4.72 mph,rain
"Mon 10, Apr 2017 12:00 PM",Light Rain,59%,29 C,76%,E 4.92 mph,rain
"Mon 10, Apr 2017 1:00 PM",Light Rain,64%,29 C,76%,ENE 4.61 mph,rain
"Mon 10, Apr 2017 2:00 PM",Light Rain,70%,28 C,77%,E 4.51 mph,rain
"Mon 10, Apr 2017 3:00 PM",Light Rain,72%,28 C,77%,E 4.32 mph,rain
"Mon 10, Apr 2017 4:00 PM",Light Rain,71%,27 C,77%,E 4.46 mph,rain
"Mon 10, Apr 2017 5:00 PM",Light Rain,69%,26 C,77%,E 4.44 mph,rain
"Mon 10, Apr 2017 6:00 PM",Light Rain,66%,26 C,78%,E 4.12 mph,rain
"Mon 10, Apr 2017 7:00 PM",Light Rain,62%,25 C,80%,E 3.73 mph,rain
"Mon 10, Apr 2017 8:00 PM",Light Rain,55%,25 C,82%,E 3.88 mph,rain
"Mon 10, Apr 2017 9:00 PM",Drizzle,46%,25 C,82%,ENE 3.79 mph,rain
"Mon 10, Apr 2017 10:00 PM",Drizzle,22%,25 C,83%,ENE 3.7 mph,rain
"Mon 10, Apr 2017 11:00 PM",Partly Cloudy,8%,25 C,83%,ENE 4.07 mph,partly-cloudy-night
