date,description,precipitation,temperature,humidity,wind,icon
"Sun 02, Apr 2017 12:00 AM",Partly Cloudy,0%,76 F,86%,ENE 3.15 mph,partly-cloudy-night
"Sun 02, Apr 2017 1:00 AM",Partly Cloudy,0%,76 F,86%,ENE 3.93 mph,partly-cloudy-night
"Sun 02, Apr 2017 2:00 AM",Mostly Cloudy,0%,76 F,87%,E 4.47 mph,partly-cloudy-night
"Sun 02, Apr 2017 3:00 AM",Partly Cloudy,0%,76 F,89%,E 4.74 mph,partly-cloudy-night
"Sun 02, Apr 2017 4:00 AM",Partly Cloudy,0%,76 F,89%,E 4.6 mph,partly-cloudy-night
"Sun 02, Apr 2017 5:00 AM",Partly Cloudy,0%,76 F,89%,ENE 6.25 mph,partly-cloudy-night
"Sun 02, Apr 2017 6:00 AM",Partly Cloudy,0%,76 F,89%,ENE 6.02 mph,partly-cloudy-night
"Sun 02, Apr 2017 7:00 AM",Partly Cloudy,1%,77 F,88%,ENE 5.79 mph,partly-cloudy-day
"Sun 02, Apr 2017 8:00 AM",Partly Cloudy,1%,79 F,85%,E 4.91 mph,partly-cloudy-day
"Sun 02, Apr 2017 9:00 AM",Partly Cloudy,0%,81 F,80%,ENE 5.53 mph,partly-cloudy-day
"Sun 02, Apr 2017 10:00 AM",Partly Cloudy,0%,83 F,77%,NE 6.5 mph,partly-cloudy-day
"Sun 02, Apr 2017 11:00 AM",Partly Cloudy,0%,85 F,75%,NE 7.47 mph,partly-cloudy-day
"Sun 02, Apr 2017 12:00 PM",Partly Cloudy,0%,88 F,73%,NE 8.16 mph,partly-cloudy-day
"Sun 02, Apr 2017 1:00 PM",Partly Cloudy,4%,89 F,73%,NE 8.49 mph,partly-cloudy-day
"Sun 02, Apr 2017 2:00 PM",Partly Cloudy,20%,89 F,73%,NE 8.94 mph,partly-cloudy-day
"Sun 02, Apr 2017 3:00 PM",Light Rain,56%,86 F,74%,NE 9.19 mph,rain
"Sun 02, Apr 2017 4:00 PM",Light Rain,62%,85 F,75%,NE 9.32 mph,rain
"Sun 02, Apr 2017 5:00 PM",Light Rain,66%,84 F,76%,NE 8.54 mph,rain
"Sun 02, Apr 2017 6:00 PM",Light Rain,64%,82 F,79%,NE 8.48 mph,rain
"Sun 02, Apr 2017 7:00 PM",Light Rain,56%,81 F,82%,NE 7.54 mph,rain
"Sun 02, Apr 2017 8:00 PM",Mostly Cloudy,19%,79 F,84%,NE 6.85 mph,partly-cloudy-night
"Sun 02, Apr 2017 9:00 PM",Mostly Cloudy,4%,78 F,86%,NE 6.73 mph,partly-cloudy-night
"Sun 02, Apr 2017 10:00 PM",Partly Cloudy,3%,77 F,86%,NE 6.31 mph,partly-cloudy-night
"Sun 02, Apr 2017 11:00 PM",Mostly Cloudy,4%,77 F,89%,NE 6.74 mph,partly-cloudy-night
