date,description,precipitation,temperature,humidity,wind,icon
"Sat 01, Apr 2017 12:00 AM",Clear,0%,76 F,78%,ENE 8.65 mph,clear-night
"Sat 01, Apr 2017 1:00 AM",Clear,0%,76 F,80%,ENE 8.47 mph,clear-night
"Sat 01, Apr 2017 2:00 AM",Clear,0%,75 F,82%,ENE 8.35 mph,clear-night
"Sat 01, Apr 2017 3:00 AM",Partly Cloudy,0%,75 F,83%,ENE 8.16 mph,partly-cloudy-night
"Sat 01, Apr 2017 4:00 AM",Partly Cloudy,0%,75 F,84%,ENE 7.94 mph,partly-cloudy-night
"Sat 01, Apr 2017 5:00 AM",Partly Cloudy,0%,76 F,85%,ENE 7.76 mph,partly-cloudy-night
"Sat 01, Apr 2017 6:00 AM",Partly Cloudy,0%,76 F,85%,ENE 7.2 mph,partly-cloudy-night
"Sat 01, Apr 2017 7:00 AM",Partly Cloudy,0%,76 F,85%,ENE 7.07 mph,partly-cloudy-day
"Sat 01, Apr 2017 8:00 AM",Partly Cloudy,0%,78 F,81%,ENE 7.14 mph,partly-cloudy-day
"Sat 01, Apr 2017 9:00 AM",Partly Cloudy,0%,81 F,79%,ENE 7.32 mph,partly-cloudy-day
"Sat 01, Apr 2017 10:00 AM",Partly Cloudy,0%,84 F,75%,ENE 8.07 mph,partly-cloudy-day
"Sat 01, Apr 2017 11:00 AM",Partly Cloudy,0%,87 F,72%,ENE 8.08 mph,partly-cloudy-day
"Sat 01, Apr 2017 12:00 PM",Drizzle,31%,88 F,73%,NE 8.84 mph,rain
"Sat 01, Apr 2017 1:00 PM",Light Rain,59%,87 F,73%,NE 9.33 mph,rain
"Sat 01, Apr 2017 2:00 PM",Light Rain,62%,86 F,75%,NE 9.22 mph,rain
"Sat 01, Apr 2017 3:00 PM",Light Rain,66%,85 F,76%,NE 9.45 mph,rain
"Sat 01, Apr 2017 4:00 PM",Light Rain,68%,83 F,76%,NE 9.44 mph,rain
"Sat 01, Apr 2017 5:00 PM",Light Rain,69%,82 F,76%,NE 9.19 mph,rain
"Sat 01, Apr 2017 6:00 PM",Light Rain,68%,81 F,79%,ENE 9.06 mph,rain
"Sat 01, Apr 2017 7:00 PM",Light Rain,64%,79 F,81%,ENE 8.88 mph,rain
"Sat 01, Apr 2017 8:00 PM",Light Rain,58%,78 F,84%,ENE 8.88 mph,rain
"Sat 01, Apr 2017 9:00 PM",Light Rain,51%,78 F,84%,ENE 8.39 mph,rain
"Sat 01, Apr 2017 10:00 PM",Partly Cloudy,20%,77 F,85%,ENE 7.84 mph,partly-cloudy-night
"Sat 01, Apr 2017 11:00 PM",Partly Cloudy,2%,77 F,87%,E 7.4 mph,partly-cloudy-night
