date,description,precipitation,temperature,humidity,wind,icon
"Sat 01, Apr 2017 12:00 AM",Clear,0%,77 F,77%,NE 10.34 mph,clear-night
"Sat 01, Apr 2017 1:00 AM",Clear,0%,76 F,80%,NE 10.35 mph,clear-night
"Sat 01, Apr 2017 2:00 AM",Clear,0%,77 F,81%,NE 10.31 mph,clear-night
"Sat 01, Apr 2017 3:00 AM",Clear,0%,77 F,83%,ENE 10.23 mph,clear-night
"Sat 01, Apr 2017 4:00 AM",Partly Cloudy,0%,77 F,84%,ENE 9.93 mph,partly-cloudy-night
"Sat 01, Apr 2017 5:00 AM",Partly Cloudy,0%,77 F,85%,ENE 10.1 mph,partly-cloudy-night
"Sat 01, Apr 2017 6:00 AM",Partly Cloudy,0%,77 F,85%,ENE 9.47 mph,partly-cloudy-night
"Sat 01, Apr 2017 7:00 AM",Partly Cloudy,0%,77 F,84%,ENE 9.22 mph,partly-cloudy-day
"Sat 01, Apr 2017 8:00 AM",Partly Cloudy,1%,79 F,82%,ENE 8.8 mph,partly-cloudy-day
"Sat 01, Apr 2017 9:00 AM",Partly Cloudy,2%,80 F,80%,ENE 8.7 mph,partly-cloudy-day
"Sat 01, Apr 2017 10:00 AM",Partly Cloudy,0%,82 F,79%,ENE 8.85 mph,partly-cloudy-day
"Sat 01, Apr 2017 11:00 AM",Mostly Cloudy,0%,83 F,78%,ENE 8.84 mph,partly-cloudy-day
"Sat 01, Apr 2017 12:00 PM",Partly Cloudy,2%,85 F,77%,ENE 8.95 mph,partly-cloudy-day
"Sat 01, Apr 2017 1:00 PM",Partly Cloudy,15%,86 F,77%,E 9.03 mph,partly-cloudy-day
"Sat 01, Apr 2017 2:00 PM",Drizzle,29%,86 F,77%,E 8.85 mph,rain
"Sat 01, Apr 2017 3:00 PM",Drizzle,42%,85 F,78%,ENE 8.59 mph,rain
"Sat 01, Apr 2017 4:00 PM",Drizzle,41%,84 F,78%,ENE 9.06 mph,rain
"Sat 01, Apr 2017 5:00 PM",Drizzle,39%,82 F,78%,ENE 9.3 mph,rain
"Sat 01, Apr 2017 6:00 PM",Drizzle,33%,81 F,80%,ENE 9.31 mph,rain
"Sat 01, Apr 2017 7:00 PM",Drizzle,22%,79 F,83%,ENE 9.08 mph,rain
"Sat 01, Apr 2017 8:00 PM",Partly Cloudy,11%,78 F,85%,ENE 8.98 mph,partly-cloudy-night
"Sat 01, Apr 2017 9:00 PM",Partly Cloudy,8%,78 F,85%,ENE 8.86 mph,partly-cloudy-night
"Sat 01, Apr 2017 10:00 PM",Partly Cloudy,5%,78 F,85%,ENE 8.94 mph,partly-cloudy-night
"Sat 01, Apr 2017 11:00 PM",Partly Cloudy,4%,78 F,86%,ENE 8.97 mph,partly-cloudy-night
