date,description,precipitation,temperature,humidity,wind,icon
"Sat 01, Apr 2017 12:00 AM",Clear,0%,77 F,77%,ENE 10.89 mph,clear-night
"Sat 01, Apr 2017 1:00 AM",Clear,0%,77 F,80%,ENE 10.78 mph,clear-night
"Sat 01, Apr 2017 2:00 AM",Clear,0%,77 F,81%,ENE 10.72 mph,clear-night
"Sat 01, Apr 2017 3:00 AM",Clear,0%,77 F,83%,ENE 10.63 mph,clear-night
"Sat 01, Apr 2017 4:00 AM",Partly Cloudy,0%,77 F,84%,ENE 10.28 mph,partly-cloudy-night
"Sat 01, Apr 2017 5:00 AM",Partly Cloudy,0%,77 F,84%,ENE 10.44 mph,partly-cloudy-night
"Sat 01, Apr 2017 6:00 AM",Partly Cloudy,0%,77 F,85%,ENE 9.85 mph,partly-cloudy-night
"Sat 01, Apr 2017 7:00 AM",Partly Cloudy,1%,78 F,84%,ENE 9.5 mph,partly-cloudy-day
"Sat 01, Apr 2017 8:00 AM",Partly Cloudy,3%,79 F,82%,ENE 8.95 mph,partly-cloudy-day
"Sat 01, Apr 2017 9:00 AM",Partly Cloudy,3%,80 F,80%,ENE 8.82 mph,partly-cloudy-day
"Sat 01, Apr 2017 10:00 AM",Partly Cloudy,0%,81 F,79%,ENE 9.02 mph,partly-cloudy-day
"Sat 01, Apr 2017 11:00 AM",Mostly Cloudy,0%,82 F,78%,ENE 9.02 mph,partly-cloudy-day
"Sat 01, Apr 2017 12:00 PM",Partly Cloudy,2%,84 F,77%,ENE 9.12 mph,partly-cloudy-day
"Sat 01, Apr 2017 1:00 PM",Drizzle,21%,85 F,77%,ENE 9.2 mph,rain
"Sat 01, Apr 2017 2:00 PM",Drizzle,37%,86 F,77%,ENE 9.08 mph,rain
"Sat 01, Apr 2017 3:00 PM",Light Rain,50%,85 F,78%,ENE 9 mph,rain
"Sat 01, Apr 2017 4:00 PM",Drizzle,44%,84 F,78%,ENE 9.48 mph,rain
"Sat 01, Apr 2017 5:00 PM",Drizzle,35%,83 F,78%,ENE 9.78 mph,rain
"Sat 01, Apr 2017 6:00 PM",Drizzle,25%,81 F,80%,ENE 9.82 mph,rain
"Sat 01, Apr 2017 7:00 PM",Partly Cloudy,17%,79 F,83%,ENE 9.58 mph,partly-cloudy-night
"Sat 01, Apr 2017 8:00 PM",Partly Cloudy,8%,78 F,84%,ENE 9.5 mph,partly-cloudy-night
"Sat 01, Apr 2017 9:00 PM",Partly Cloudy,6%,79 F,85%,ENE 9.36 mph,partly-cloudy-night
"Sat 01, Apr 2017 10:00 PM",Partly Cloudy,4%,79 F,85%,ENE 9.43 mph,partly-cloudy-night
"Sat 01, Apr 2017 11:00 PM",Partly Cloudy,2%,78 F,86%,ENE 9.49 mph,partly-cloudy-night
