date,description,precipitation,temperature,humidity,wind,icon
"Sat 01, Apr 2017 12:00 AM",Partly Cloudy,0%,73 F,82%,ENE 6.15 mph,partly-cloudy-night
"Sat 01, Apr 2017 1:00 AM",Partly Cloudy,0%,72 F,83%,ENE 5.97 mph,partly-cloudy-night
"Sat 01, Apr 2017 2:00 AM",Partly Cloudy,0%,72 F,85%,ENE 5.79 mph,partly-cloudy-night
"Sat 01, Apr 2017 3:00 AM",Partly Cloudy,0%,72 F,85%,ENE 5.6 mph,partly-cloudy-night
"Sat 01, Apr 2017 4:00 AM",Partly Cloudy,0%,71 F,86%,ENE 5.45 mph,partly-cloudy-night
"Sat 01, Apr 2017 5:00 AM",Partly Cloudy,0%,72 F,86%,ENE 5.37 mph,partly-cloudy-night
"Sat 01, Apr 2017 6:00 AM",Partly Cloudy,0%,72 F,86%,ENE 5.04 mph,partly-cloudy-night
"Sat 01, Apr 2017 7:00 AM",Partly Cloudy,0%,73 F,86%,ENE 5.1 mph,partly-cloudy-day
"Sat 01, Apr 2017 8:00 AM",Partly Cloudy,0%,77 F,81%,ENE 5.3 mph,partly-cloudy-day
"Sat 01, Apr 2017 9:00 AM",Partly Cloudy,0%,82 F,76%,ENE 5.58 mph,partly-cloudy-day
"Sat 01, Apr 2017 10:00 AM",Partly Cloudy,0%,87 F,71%,NE 6.25 mph,partly-cloudy-day
"Sat 01, Apr 2017 11:00 AM",Partly Cloudy,0%,91 F,68%,NE 6.22 mph,partly-cloudy-day
"Sat 01, Apr 2017 12:00 PM",Light Rain,55%,92 F,69%,NE 6.75 mph,rain
"Sat 01, Apr 2017 1:00 PM",Light Rain,66%,89 F,71%,NE 6.81 mph,rain
"Sat 01, Apr 2017 2:00 PM",Light Rain,70%,87 F,73%,NE 6.62 mph,rain
"Sat 01, Apr 2017 3:00 PM",Rain,74%,83 F,75%,NNE 6.95 mph,rain
"Sat 01, Apr 2017 4:00 PM",Rain,77%,81 F,77%,NE 6.88 mph,rain
"Sat 01, Apr 2017 5:00 PM",Rain,80%,80 F,77%,NE 6.63 mph,rain
"Sat 01, Apr 2017 6:00 PM",Rain,79%,79 F,81%,NE 6.4 mph,rain
"Sat 01, Apr 2017 7:00 PM",Rain,75%,78 F,83%,ENE 6.22 mph,rain
"Sat 01, Apr 2017 8:00 PM",Light Rain,67%,76 F,86%,ENE 6.3 mph,rain
"Sat 01, Apr 2017 9:00 PM",Light Rain,58%,75 F,86%,ENE 5.97 mph,rain
"Sat 01, Apr 2017 10:00 PM",Drizzle,32%,75 F,86%,ENE 5.53 mph,rain
"Sat 01, Apr 2017 11:00 PM",Clear,0%,74 F,89%,E 5.24 mph,clear-night
