date,description,precipitation,temperature,humidity,wind,icon
"Sat 01, Apr 2017 12:00 AM",Clear,0%,75 F,83%,NE 6.71 mph,clear-night
"Sat 01, Apr 2017 1:00 AM",Clear,0%,74 F,85%,NE 6.89 mph,clear-night
"Sat 01, Apr 2017 2:00 AM",Clear,0%,74 F,85%,NE 6.89 mph,clear-night
"Sat 01, Apr 2017 3:00 AM",Clear,0%,74 F,86%,NE 6.73 mph,clear-night
"Sat 01, Apr 2017 4:00 AM",Clear,0%,74 F,86%,NE 6.73 mph,clear-night
"Sat 01, Apr 2017 5:00 AM",Clear,0%,74 F,87%,NE 7.31 mph,clear-night
"Sat 01, Apr 2017 6:00 AM",Partly Cloudy,0%,74 F,87%,NE 6.82 mph,partly-cloudy-night
"Sat 01, Apr 2017 7:00 AM",Partly Cloudy,0%,75 F,86%,NE 6.77 mph,partly-cloudy-day
"Sat 01, Apr 2017 8:00 AM",Partly Cloudy,0%,78 F,82%,ENE 7.28 mph,partly-cloudy-day
"Sat 01, Apr 2017 9:00 AM",Partly Cloudy,0%,82 F,77%,ENE 7.8 mph,partly-cloudy-day
"Sat 01, Apr 2017 10:00 AM",Partly Cloudy,0%,87 F,73%,ENE 8.11 mph,partly-cloudy-day
"Sat 01, Apr 2017 11:00 AM",Partly Cloudy,0%,91 F,70%,E 8.18 mph,partly-cloudy-day
"Sat 01, Apr 2017 12:00 PM",Drizzle,35%,92 F,70%,E 7.98 mph,rain
"Sat 01, Apr 2017 1:00 PM",Light Rain,56%,90 F,72%,E 7.56 mph,rain
"Sat 01, Apr 2017 2:00 PM",Light Rain,63%,88 F,74%,E 6.7 mph,rain
"Sat 01, Apr 2017 3:00 PM",Light Rain,68%,86 F,76%,E 6.08 mph,rain
"Sat 01, Apr 2017 4:00 PM",Rain,75%,85 F,77%,E 6.21 mph,rain
"Sat 01, Apr 2017 5:00 PM",Rain,79%,83 F,78%,E 6.33 mph,rain
"Sat 01, Apr 2017 6:00 PM",Rain,78%,81 F,81%,E 6.5 mph,rain
"Sat 01, Apr 2017 7:00 PM",Light Rain,73%,79 F,85%,ENE 6.78 mph,rain
"Sat 01, Apr 2017 8:00 PM",Light Rain,61%,78 F,87%,ENE 7.16 mph,rain
"Sat 01, Apr 2017 9:00 PM",Drizzle,32%,77 F,88%,ENE 7.11 mph,rain
"Sat 01, Apr 2017 10:00 PM",Clear,7%,76 F,89%,ENE 6.86 mph,clear-night
"Sat 01, Apr 2017 11:00 PM",Clear,0%,76 F,89%,ENE 6.58 mph,clear-night
