date,description,precipitation,temperature,humidity,wind,icon
"Fri 24, Mar 2017 12:00 AM",Light Rain,66%,23 C,93%,SE 0.89 mph,rain
"Fri 24, Mar 2017 1:00 AM",Light Rain,61%,23 C,94%,ESE 0.83 mph,rain
"Fri 24, Mar 2017 2:00 AM",Light Rain,60%,23 C,93%,ESE 0.84 mph,rain
"Fri 24, Mar 2017 3:00 AM",Light Rain,60%,24 C,92%,ESE 0.87 mph,rain
"Fri 24, Mar 2017 4:00 AM",Light Rain,50%,23 C,93%,ESE 0.97 mph,rain
"Fri 24, Mar 2017 5:00 AM",Light Rain,56%,23 C,93%,E 1.03 mph,rain
"Fri 24, Mar 2017 6:00 AM",Drizzle,25%,23 C,93%,E 1.19 mph,rain
"Fri 24, Mar 2017 7:00 AM",Overcast,9%,23 C,92%,E 1.49 mph,cloudy
"Fri 24, Mar 2017 8:00 AM",Overcast,10%,24 C,88%,E 1.67 mph,cloudy
"Fri 24, Mar 2017 9:00 AM",Light Rain,50%,25 C,84%,ENE 2.05 mph,rain
"Fri 24, Mar 2017 10:00 AM",Light Rain,62%,27 C,81%,ENE 2.41 mph,rain
"Fri 24, Mar 2017 11:00 AM",Light Rain,63%,28 C,80%,ENE 2.95 mph,rain
"Fri 24, Mar 2017 12:00 PM",Light Rain,59%,29 C,80%,ENE 3.34 mph,rain
"Fri 24, Mar 2017 1:00 PM",Light Rain,62%,28 C,80%,ENE 3.39 mph,rain
"Fri 24, Mar 2017 2:00 PM",Light Rain,63%,27 C,81%,E 3.15 mph,rain
"Fri 24, Mar 2017 3:00 PM",Light Rain,60%,27 C,82%,E 3.42 mph,rain
"Fri 24, Mar 2017 4:00 PM",Light Rain,62%,27 C,81%,E 3.39 mph,rain
"Fri 24, Mar 2017 5:00 PM",Light Rain,62%,26 C,82%,E 3.32 mph,rain
"Fri 24, Mar 2017 6:00 PM",Light Rain,60%,25 C,83%,E 3.14 mph,rain
"Fri 24, Mar 2017 7:00 PM",Light Rain,56%,25 C,86%,E 2.88 mph,rain
"Fri 24, Mar 2017 8:00 PM",Light Rain,50%,24 C,88%,E 2.59 mph,rain
"Fri 24, Mar 2017 9:00 PM",Drizzle,32%,24 C,88%,E 2.56 mph,rain
"Fri 24, Mar 2017 10:00 PM",Overcast,19%,24 C,88%,E 2.61 mph,cloudy
"Fri 24, Mar 2017 11:00 PM",Overcast,16%,24 C,88%,E 2.67 mph,cloudy
