date,description,precipitation,temperature,humidity,wind,icon
"Fri 24, Mar 2017 12:00 AM",Light Rain,66%,74 F,93%,SE 1.98 mph,rain
"Fri 24, Mar 2017 1:00 AM",Light Rain,61%,74 F,94%,ESE 1.85 mph,rain
"Fri 24, Mar 2017 2:00 AM",Light Rain,60%,74 F,93%,ESE 1.88 mph,rain
"Fri 24, Mar 2017 3:00 AM",Light Rain,60%,75 F,92%,ESE 1.94 mph,rain
"Fri 24, Mar 2017 4:00 AM",Light Rain,50%,75 F,93%,ESE 2.18 mph,rain
"Fri 24, Mar 2017 5:00 AM",Light Rain,56%,74 F,93%,E 2.3 mph,rain
"Fri 24, Mar 2017 6:00 AM",Drizzle,25%,74 F,93%,E 2.67 mph,rain
"Fri 24, Mar 2017 7:00 AM",Overcast,9%,74 F,92%,E 3.34 mph,cloudy
"Fri 24, Mar 2017 8:00 AM",Overcast,10%,76 F,88%,E 3.73 mph,cloudy
"Fri 24, Mar 2017 9:00 AM",Light Rain,50%,78 F,84%,ENE 4.58 mph,rain
"Fri 24, Mar 2017 10:00 AM",Light Rain,62%,80 F,81%,ENE 5.39 mph,rain
"Fri 24, Mar 2017 11:00 AM",Light Rain,63%,82 F,80%,ENE 6.61 mph,rain
"Fri 24, Mar 2017 12:00 PM",Light Rain,59%,84 F,80%,ENE 7.47 mph,rain
"Fri 24, Mar 2017 1:00 PM",Light Rain,62%,83 F,80%,ENE 7.58 mph,rain
"Fri 24, Mar 2017 2:00 PM",Light Rain,63%,82 F,81%,E 7.05 mph,rain
"Fri 24, Mar 2017 3:00 PM",Light Rain,60%,81 F,82%,E 7.64 mph,rain
"Fri 24, Mar 2017 4:00 PM",Light Rain,62%,80 F,81%,E 7.58 mph,rain
"Fri 24, Mar 2017 5:00 PM",Light Rain,62%,79 F,82%,E 7.42 mph,rain
"Fri 24, Mar 2017 6:00 PM",Light Rain,60%,78 F,83%,E 7.02 mph,rain
"Fri 24, Mar 2017 7:00 PM",Light Rain,56%,77 F,86%,E 6.45 mph,rain
"Fri 24, Mar 2017 8:00 PM",Light Rain,50%,76 F,88%,E 5.8 mph,rain
"Fri 24, Mar 2017 9:00 PM",Drizzle,32%,76 F,88%,E 5.72 mph,rain
"Fri 24, Mar 2017 10:00 PM",Overcast,19%,76 F,88%,E 5.83 mph,cloudy
"Fri 24, Mar 2017 11:00 PM",Overcast,16%,76 F,88%,E 5.97 mph,cloudy
