date,description,precipitation,temperature,humidity,wind,icon
"Mon 10, Apr 2017 12:00 AM",Light Rain,66%,24 C,89%,NNE 1.84 mph,rain
"Mon 10, Apr 2017 1:00 AM",Light Rain,67%,24 C,91%,NNE 2.23 mph,rain
"Mon 10, Apr 2017 2:00 AM",Light Rain,61%,24 C,90%,NNE 2.23 mph,rain
"Mon 10, Apr 2017 3:00 AM",Drizzle,41%,24 C,90%,NE 2.28 mph,rain
"Mon 10, Apr 2017 4:00 AM",Partly Cloudy,8%,24 C,89%,NE 2.05 mph,partly-cloudy-night
"Mon 10, Apr 2017 5:00 AM",Clear,1%,24 C,90%,ENE 2.24 mph,clear-night
"Mon 10, Apr 2017 6:00 AM",Partly Cloudy,2%,24 C,89%,ENE 2.24 mph,partly-cloudy-night
"Mon 10, Apr 2017 7:00 AM",Drizzle,27%,25 C,88%,ENE 2.83 mph,rain
"Mon 10, Apr 2017 8:00 AM",Drizzle,30%,26 C,84%,ENE 3.17 mph,rain
"Mon 10, Apr 2017 9:00 AM",Light Rain,55%,28 C,81%,ENE 3.56 mph,rain
"Mon 10, Apr 2017 10:00 AM",Light Rain,65%,28 C,79%,E 4.09 mph,rain
"Mon 10, Apr 2017 11:00 AM",Light Rain,58%,29 C,78%,E 4.47 mph,rain
"Mon 10, Apr 2017 12:00 PM",Light Rain,62%,29 C,77%,E 4.52 mph,rain
"Mon 10, Apr 2017 1:00 PM",Light Rain,66%,28 C,77%,E 4.13 mph,rain
"Mon 10, Apr 2017 2:00 PM",Light Rain,72%,27 C,78%,E 3.65 mph,rain
"Mon 10, Apr 2017 3:00 PM",Rain,75%,27 C,78%,E 3.51 mph,rain
"Mon 10, Apr 2017 4:00 PM",Light Rain,73%,27 C,77%,E 3.74 mph,rain
"Mon 10, Apr 2017 5:00 PM",Light Rain,71%,26 C,78%,E 3.82 mph,rain
"Mon 10, Apr 2017 6:00 PM",Light Rain,69%,25 C,80%,ENE 3.74 mph,rain
"Mon 10, Apr 2017 7:00 PM",Light Rain,66%,25 C,82%,ENE 3.53 mph,rain
"Mon 10, Apr 2017 8:00 PM",Light Rain,61%,24 C,84%,ENE 3.57 mph,rain
"Mon 10, Apr 2017 9:00 PM",Light Rain,57%,24 C,84%,ENE 3.55 mph,rain
"Mon 10, Apr 2017 10:00 PM",Light Rain,49%,24 C,85%,ENE 3.57 mph,rain
"Mon 10, Apr 2017 11:00 PM",Partly Cloudy,20%,23 C,85%,ENE 3.56 mph,partly-cloudy-night
