date,description,precipitation,temperature,humidity,wind,icon
"Fri 24, Mar 2017 12:00 AM",Light Rain,59%,74 F,93%,ESE 1.03 mph,rain
"Fri 24, Mar 2017 1:00 AM",Light Rain,56%,74 F,94%,E 1.63 mph,rain
"Fri 24, Mar 2017 2:00 AM",Light Rain,61%,74 F,93%,E 2.12 mph,rain
"Fri 24, Mar 2017 3:00 AM",Light Rain,63%,75 F,92%,E 2.24 mph,rain
"Fri 24, Mar 2017 4:00 AM",Light Rain,55%,74 F,93%,ENE 2.43 mph,rain
"Fri 24, Mar 2017 5:00 AM",Light Rain,55%,74 F,93%,ENE 2.6 mph,rain
"Fri 24, Mar 2017 6:00 AM",Light Rain,50%,74 F,93%,ENE 2.88 mph,rain
"Fri 24, Mar 2017 7:00 AM",Drizzle,31%,75 F,92%,ENE 3.39 mph,rain
"Fri 24, Mar 2017 8:00 AM",Drizzle,37%,76 F,89%,ENE 4.02 mph,rain
"Fri 24, Mar 2017 9:00 AM",Light Rain,61%,78 F,85%,ENE 5.07 mph,rain
"Fri 24, Mar 2017 10:00 AM",Light Rain,68%,79 F,83%,ENE 6.13 mph,rain
"Fri 24, Mar 2017 11:00 AM",Light Rain,68%,81 F,82%,E 6.91 mph,rain
"Fri 24, Mar 2017 12:00 PM",Light Rain,61%,83 F,81%,E 7.68 mph,rain
"Fri 24, Mar 2017 1:00 PM",Light Rain,63%,83 F,82%,E 8.23 mph,rain
"Fri 24, Mar 2017 2:00 PM",Light Rain,68%,82 F,83%,E 7.81 mph,rain
"Fri 24, Mar 2017 3:00 PM",Light Rain,65%,80 F,83%,E 7.98 mph,rain
"Fri 24, Mar 2017 4:00 PM",Light Rain,65%,80 F,83%,E 8.06 mph,rain
"Fri 24, Mar 2017 5:00 PM",Light Rain,64%,79 F,84%,E 7.97 mph,rain
"Fri 24, Mar 2017 6:00 PM",Light Rain,61%,78 F,85%,E 7.26 mph,rain
"Fri 24, Mar 2017 7:00 PM",Light Rain,58%,77 F,87%,E 6.33 mph,rain
"Fri 24, Mar 2017 8:00 PM",Light Rain,54%,76 F,89%,E 5.57 mph,rain
"Fri 24, Mar 2017 9:00 PM",Light Rain,50%,76 F,89%,E 5.44 mph,rain
"Fri 24, Mar 2017 10:00 PM",Drizzle,34%,76 F,89%,E 5.62 mph,rain
"Fri 24, Mar 2017 11:00 PM",Drizzle,34%,76 F,89%,E 5.84 mph,rain
