date,description,precipitation,temperature,humidity,wind,icon
"Sun 02, Apr 2017 12:00 AM",Clear,0%,74 F,90%,NE 5.18 mph,clear-night
"Sun 02, Apr 2017 1:00 AM",Partly Cloudy,0%,74 F,91%,NE 5.32 mph,partly-cloudy-night
"Sun 02, Apr 2017 2:00 AM",Partly Cloudy,0%,74 F,92%,ENE 5.21 mph,partly-cloudy-night
"Sun 02, Apr 2017 3:00 AM",Partly Cloudy,0%,74 F,92%,ENE 5.06 mph,partly-cloudy-night
"Sun 02, Apr 2017 4:00 AM",Partly Cloudy,0%,73 F,92%,ENE 4.68 mph,partly-cloudy-night
"Sun 02, Apr 2017 5:00 AM",Partly Cloudy,0%,73 F,91%,ENE 3.85 mph,partly-cloudy-night
"Sun 02, Apr 2017 6:00 AM",Partly Cloudy,0%,73 F,91%,ENE 3.36 mph,partly-cloudy-night
"Sun 02, Apr 2017 7:00 AM",Partly Cloudy,0%,74 F,90%,ENE 3.69 mph,partly-cloudy-day
"Sun 02, Apr 2017 8:00 AM",Partly Cloudy,0%,77 F,88%,NE 3.79 mph,partly-cloudy-day
"Sun 02, Apr 2017 9:00 AM",Partly Cloudy,0%,80 F,84%,NE 4.25 mph,partly-cloudy-day
"Sun 02, Apr 2017 10:00 AM",Partly Cloudy,0%,85 F,79%,NNE 4.53 mph,partly-cloudy-day
"Sun 02, Apr 2017 11:00 AM",Partly Cloudy,2%,88 F,77%,NNE 5.07 mph,partly-cloudy-day
"Sun 02, Apr 2017 12:00 PM",Light Rain,52%,89 F,76%,NNE 5.43 mph,rain
"Sun 02, Apr 2017 1:00 PM",Light Rain,64%,88 F,77%,N 5.84 mph,rain
"Sun 02, Apr 2017 2:00 PM",Light Rain,69%,86 F,79%,N 6.75 mph,rain
"Sun 02, Apr 2017 3:00 PM",Light Rain,72%,83 F,81%,N 7.03 mph,rain
"Sun 02, Apr 2017 4:00 PM",Rain,75%,82 F,81%,N 6.88 mph,rain
"Sun 02, Apr 2017 5:00 PM",Rain,77%,81 F,83%,NNE 6.83 mph,rain
"Sun 02, Apr 2017 6:00 PM",Rain,76%,80 F,86%,NNE 6.78 mph,rain
"Sun 02, Apr 2017 7:00 PM",Light Rain,70%,78 F,89%,NNE 6.68 mph,rain
"Sun 02, Apr 2017 8:00 PM",Light Rain,59%,77 F,92%,NNE 6.68 mph,rain
"Sun 02, Apr 2017 9:00 PM",Drizzle,39%,76 F,93%,NNE 6.78 mph,rain
"Sun 02, Apr 2017 10:00 PM",Partly Cloudy,13%,76 F,93%,NNE 6.86 mph,partly-cloudy-night
"Sun 02, Apr 2017 11:00 PM",Mostly Cloudy,2%,76 F,93%,NNE 6.91 mph,partly-cloudy-night
