date,description,precipitation,temperature,humidity,wind,icon
"Sun 02, Apr 2017 12:00 AM",Partly Cloudy,0%,76 F,89%,NE 4.65 mph,partly-cloudy-night
"Sun 02, Apr 2017 1:00 AM",Partly Cloudy,0%,76 F,90%,NE 5.42 mph,partly-cloudy-night
"Sun 02, Apr 2017 2:00 AM",Mostly Cloudy,0%,76 F,90%,NE 6.01 mph,partly-cloudy-night
"Sun 02, Apr 2017 3:00 AM",Mostly Cloudy,0%,76 F,91%,ENE 6.6 mph,partly-cloudy-night
"Sun 02, Apr 2017 4:00 AM",Mostly Cloudy,0%,76 F,92%,ENE 6.82 mph,partly-cloudy-night
"Sun 02, Apr 2017 5:00 AM",Partly Cloudy,0%,76 F,92%,ENE 7.06 mph,partly-cloudy-night
"Sun 02, Apr 2017 6:00 AM",Mostly Cloudy,1%,76 F,91%,ENE 7.02 mph,partly-cloudy-night
"Sun 02, Apr 2017 7:00 AM",Mostly Cloudy,2%,76 F,90%,ENE 6.72 mph,partly-cloudy-day
"Sun 02, Apr 2017 8:00 AM",Mostly Cloudy,3%,78 F,87%,ENE 6.58 mph,partly-cloudy-day
"Sun 02, Apr 2017 9:00 AM",Mostly Cloudy,1%,80 F,84%,ENE 6.6 mph,partly-cloudy-day
"Sun 02, Apr 2017 10:00 AM",Mostly Cloudy,0%,82 F,80%,ENE 6.78 mph,partly-cloudy-day
"Sun 02, Apr 2017 11:00 AM",Partly Cloudy,0%,84 F,78%,ENE 6.9 mph,partly-cloudy-day
"Sun 02, Apr 2017 12:00 PM",Partly Cloudy,0%,86 F,77%,ENE 7 mph,partly-cloudy-day
"Sun 02, Apr 2017 1:00 PM",Partly Cloudy,3%,87 F,77%,ENE 7 mph,partly-cloudy-day
"Sun 02, Apr 2017 2:00 PM",Partly Cloudy,10%,86 F,77%,ENE 6.84 mph,partly-cloudy-day
"Sun 02, Apr 2017 3:00 PM",Light Rain,53%,85 F,78%,NE 7.11 mph,rain
"Sun 02, Apr 2017 4:00 PM",Light Rain,59%,84 F,78%,NE 7.66 mph,rain
"Sun 02, Apr 2017 5:00 PM",Light Rain,62%,82 F,79%,NE 8 mph,rain
"Sun 02, Apr 2017 6:00 PM",Light Rain,61%,80 F,82%,NE 7.83 mph,rain
"Sun 02, Apr 2017 7:00 PM",Light Rain,54%,78 F,86%,NE 7.34 mph,rain
"Sun 02, Apr 2017 8:00 PM",Drizzle,27%,77 F,88%,NE 7.06 mph,rain
"Sun 02, Apr 2017 9:00 PM",Mostly Cloudy,15%,77 F,89%,NE 7.06 mph,partly-cloudy-night
"Sun 02, Apr 2017 10:00 PM",Mostly Cloudy,15%,77 F,89%,NE 7.27 mph,partly-cloudy-night
"Sun 02, Apr 2017 11:00 PM",Mostly Cloudy,15%,77 F,90%,NE 7.43 mph,partly-cloudy-night
