date,description,precipitation,temperature,humidity,wind,icon
"Fri 24, Mar 2017 12:00 AM",Light Rain,60%,22 C,92%,SE 0.12 mph,rain
"Fri 24, Mar 2017 1:00 AM",Light Rain,54%,22 C,93%,NE 0.24 mph,rain
"Fri 24, Mar 2017 2:00 AM",Drizzle,42%,22 C,93%,ENE 0.38 mph,rain
"Fri 24, Mar 2017 3:00 AM",Drizzle,22%,22 C,93%,ENE 0.45 mph,rain
"Fri 24, Mar 2017 4:00 AM",Mostly Cloudy,7%,22 C,93%,ENE 0.59 mph,partly-cloudy-night
"Fri 24, Mar 2017 5:00 AM",Mostly Cloudy,13%,22 C,93%,NE 0.74 mph,partly-cloudy-night
"Fri 24, Mar 2017 6:00 AM",Mostly Cloudy,7%,22 C,92%,ENE 0.98 mph,partly-cloudy-night
"Fri 24, Mar 2017 7:00 AM",Mostly Cloudy,2%,22 C,92%,ENE 1.26 mph,partly-cloudy-day
"Fri 24, Mar 2017 8:00 AM",Humid and Mostly Cloudy,2%,23 C,90%,ENE 1.68 mph,partly-cloudy-day
"Fri 24, Mar 2017 9:00 AM",Mostly Cloudy,12%,26 C,85%,E 1.86 mph,partly-cloudy-day
"Fri 24, Mar 2017 10:00 AM",Drizzle,35%,28 C,81%,E 2.15 mph,rain
"Fri 24, Mar 2017 11:00 AM",Light Rain,56%,29 C,80%,E 2.6 mph,rain
"Fri 24, Mar 2017 12:00 PM",Light Rain,61%,29 C,80%,E 2.72 mph,rain
"Fri 24, Mar 2017 1:00 PM",Light Rain,62%,27 C,81%,E 2.65 mph,rain
"Fri 24, Mar 2017 2:00 PM",Light Rain,59%,27 C,82%,E 2.59 mph,rain
"Fri 24, Mar 2017 3:00 PM",Light Rain,58%,27 C,83%,E 2.61 mph,rain
"Fri 24, Mar 2017 4:00 PM",Light Rain,60%,26 C,83%,E 2.65 mph,rain
"Fri 24, Mar 2017 5:00 PM",Light Rain,62%,25 C,84%,E 2.64 mph,rain
"Fri 24, Mar 2017 6:00 PM",Light Rain,60%,24 C,86%,E 2.47 mph,rain
"Fri 24, Mar 2017 7:00 PM",Light Rain,54%,24 C,89%,E 2.17 mph,rain
"Fri 24, Mar 2017 8:00 PM",Drizzle,27%,23 C,91%,E 1.87 mph,rain
"Fri 24, Mar 2017 9:00 PM",Overcast,13%,23 C,92%,E 1.92 mph,cloudy
"Fri 24, Mar 2017 10:00 PM",Mostly Cloudy,11%,23 C,92%,E 2.09 mph,partly-cloudy-night
"Fri 24, Mar 2017 11:00 PM",Mostly Cloudy,12%,23 C,91%,E 2.23 mph,partly-cloudy-night
