date,description,precipitation,temperature,humidity,wind,icon
"Sun 02, Apr 2017 12:00 AM",Clear,0%,73 F,89%,NNE 4.18 mph,clear-night
"Sun 02, Apr 2017 1:00 AM",Clear,0%,72 F,90%,NE 4.58 mph,clear-night
"Sun 02, Apr 2017 2:00 AM",Partly Cloudy,0%,72 F,90%,NE 5.01 mph,partly-cloudy-night
"Sun 02, Apr 2017 3:00 AM",Partly Cloudy,0%,72 F,91%,NE 5.1 mph,partly-cloudy-night
"Sun 02, Apr 2017 4:00 AM",Partly Cloudy,0%,72 F,92%,NE 5.19 mph,partly-cloudy-night
"Sun 02, Apr 2017 5:00 AM",Partly Cloudy,0%,72 F,92%,ENE 5.34 mph,partly-cloudy-night
"Sun 02, Apr 2017 6:00 AM",Partly Cloudy,0%,73 F,91%,ENE 5.12 mph,partly-cloudy-night
"Sun 02, Apr 2017 7:00 AM",Partly Cloudy,0%,74 F,91%,ENE 5 mph,partly-cloudy-day
"Sun 02, Apr 2017 8:00 AM",Partly Cloudy,0%,78 F,88%,ENE 5.13 mph,partly-cloudy-day
"Sun 02, Apr 2017 9:00 AM",Partly Cloudy,0%,81 F,83%,ENE 6.11 mph,partly-cloudy-day
"Sun 02, Apr 2017 10:00 AM",Partly Cloudy,0%,86 F,78%,E 5.34 mph,partly-cloudy-day
"Sun 02, Apr 2017 11:00 AM",Partly Cloudy,3%,90 F,74%,E 5.33 mph,partly-cloudy-day
"Sun 02, Apr 2017 12:00 PM",Drizzle,27%,92 F,73%,E 6.08 mph,rain
"Sun 02, Apr 2017 1:00 PM",Light Rain,53%,91 F,74%,ESE 5.89 mph,rain
"Sun 02, Apr 2017 2:00 PM",Light Rain,63%,89 F,75%,ESE 5.49 mph,rain
"Sun 02, Apr 2017 3:00 PM",Light Rain,72%,86 F,78%,ESE 4.53 mph,rain
"Sun 02, Apr 2017 4:00 PM",Rain,78%,84 F,80%,E 5.49 mph,rain
"Sun 02, Apr 2017 5:00 PM",Rain,80%,82 F,82%,ENE 5.95 mph,rain
"Sun 02, Apr 2017 6:00 PM",Rain,79%,80 F,85%,ENE 5.2 mph,rain
"Sun 02, Apr 2017 7:00 PM",Light Rain,72%,78 F,88%,ENE 4.66 mph,rain
"Sun 02, Apr 2017 8:00 PM",Light Rain,51%,76 F,90%,NE 3.7 mph,rain
"Sun 02, Apr 2017 9:00 PM",Partly Cloudy,0%,75 F,92%,NE 5.18 mph,partly-cloudy-night
"Sun 02, Apr 2017 10:00 PM",Partly Cloudy,0%,75 F,92%,NE 5.39 mph,partly-cloudy-night
"Sun 02, Apr 2017 11:00 PM",Mostly Cloudy,2%,75 F,93%,NNE 5.59 mph,partly-cloudy-night
