date,description,precipitation,temperature,humidity,wind,icon
"Sat 01, Apr 2017 12:00 AM",Clear,0%,78 F,82%,ENE 8.75 mph,clear-night
"Sat 01, Apr 2017 1:00 AM",Clear,0%,77 F,83%,ENE 8.96 mph,clear-night
"Sat 01, Apr 2017 2:00 AM",Clear,0%,77 F,83%,NE 8.99 mph,clear-night
"Sat 01, Apr 2017 3:00 AM",Clear,0%,77 F,84%,NE 8.64 mph,clear-night
"Sat 01, Apr 2017 4:00 AM",Clear,0%,77 F,84%,NE 8.98 mph,clear-night
"Sat 01, Apr 2017 5:00 AM",Clear,0%,77 F,84%,NE 8.98 mph,clear-night
"Sat 01, Apr 2017 6:00 AM",Clear,0%,78 F,84%,NE 8.68 mph,clear-night
"Sat 01, Apr 2017 7:00 AM",Partly Cloudy,0%,78 F,84%,NE 8.37 mph,partly-cloudy-day
"Sat 01, Apr 2017 8:00 AM",Clear,0%,79 F,81%,ENE 8.65 mph,clear-day
"Sat 01, Apr 2017 9:00 AM",Clear,0%,81 F,78%,ENE 8.78 mph,clear-day
"Sat 01, Apr 2017 10:00 AM",Clear,0%,84 F,75%,ENE 9.03 mph,clear-day
"Sat 01, Apr 2017 11:00 AM",Clear,0%,87 F,73%,E 9 mph,clear-day
"Sat 01, Apr 2017 12:00 PM",Partly Cloudy,10%,88 F,73%,E 8.31 mph,partly-cloudy-day
"Sat 01, Apr 2017 1:00 PM",Drizzle,34%,87 F,74%,E 7.38 mph,rain
"Sat 01, Apr 2017 2:00 PM",Light Rain,54%,86 F,76%,E 6.46 mph,rain
"Sat 01, Apr 2017 3:00 PM",Light Rain,59%,84 F,77%,ENE 5.57 mph,rain
"Sat 01, Apr 2017 4:00 PM",Light Rain,68%,84 F,77%,E 5.74 mph,rain
"Sat 01, Apr 2017 5:00 PM",Light Rain,72%,83 F,78%,ENE 6.04 mph,rain
"Sat 01, Apr 2017 6:00 PM",Light Rain,71%,82 F,80%,ENE 6.58 mph,rain
"Sat 01, Apr 2017 7:00 PM",Light Rain,65%,81 F,82%,ENE 7.45 mph,rain
"Sat 01, Apr 2017 8:00 PM",Light Rain,51%,80 F,84%,ENE 8.41 mph,rain
"Sat 01, Apr 2017 9:00 PM",Partly Cloudy,12%,79 F,85%,ENE 8.63 mph,partly-cloudy-night
"Sat 01, Apr 2017 10:00 PM",Clear,2%,79 F,85%,ENE 8.59 mph,clear-night
"Sat 01, Apr 2017 11:00 PM",Clear,0%,79 F,86%,ENE 8.43 mph,clear-night
