date,description,precipitation,temperature,humidity,wind,icon
"Sat 01, Apr 2017 12:00 AM",Partly Cloudy,0%,74 F,85%,ENE 6.54 mph,partly-cloudy-night
"Sat 01, Apr 2017 1:00 AM",Clear,0%,73 F,86%,ENE 6.49 mph,clear-night
"Sat 01, Apr 2017 2:00 AM",Clear,0%,73 F,87%,ENE 6.37 mph,clear-night
"Sat 01, Apr 2017 3:00 AM",Clear,0%,73 F,87%,ENE 6.13 mph,clear-night
"Sat 01, Apr 2017 4:00 AM",Clear,0%,72 F,87%,ENE 6.09 mph,clear-night
"Sat 01, Apr 2017 5:00 AM",Clear,0%,73 F,87%,ENE 5.93 mph,clear-night
"Sat 01, Apr 2017 6:00 AM",Clear,0%,73 F,87%,ENE 5.45 mph,clear-night
"Sat 01, Apr 2017 7:00 AM",Partly Cloudy,0%,74 F,86%,ENE 5.46 mph,partly-cloudy-day
"Sat 01, Apr 2017 8:00 AM",Clear,0%,78 F,82%,ENE 5.56 mph,clear-day
"Sat 01, Apr 2017 9:00 AM",Clear,0%,81 F,77%,ENE 5.64 mph,clear-day
"Sat 01, Apr 2017 10:00 AM",Clear,0%,86 F,72%,ENE 5.86 mph,clear-day
"Sat 01, Apr 2017 11:00 AM",Clear,0%,90 F,69%,ENE 5.46 mph,clear-day
"Sat 01, Apr 2017 12:00 PM",Drizzle,46%,92 F,70%,NE 4.97 mph,rain
"Sat 01, Apr 2017 1:00 PM",Light Rain,61%,89 F,74%,NE 4.36 mph,rain
"Sat 01, Apr 2017 2:00 PM",Light Rain,66%,87 F,77%,NE 4.36 mph,rain
"Sat 01, Apr 2017 3:00 PM",Light Rain,70%,83 F,79%,NE 4.66 mph,rain
"Sat 01, Apr 2017 4:00 PM",Rain,76%,82 F,81%,NE 4.89 mph,rain
"Sat 01, Apr 2017 5:00 PM",Rain,79%,81 F,83%,NE 5.04 mph,rain
"Sat 01, Apr 2017 6:00 PM",Rain,78%,80 F,85%,ENE 5.07 mph,rain
"Sat 01, Apr 2017 7:00 PM",Light Rain,73%,78 F,88%,ENE 5.1 mph,rain
"Sat 01, Apr 2017 8:00 PM",Light Rain,62%,77 F,91%,ENE 5.32 mph,rain
"Sat 01, Apr 2017 9:00 PM",Light Rain,49%,76 F,91%,ENE 5.31 mph,rain
"Sat 01, Apr 2017 10:00 PM",Partly Cloudy,12%,75 F,91%,ENE 5.03 mph,partly-cloudy-night
"Sat 01, Apr 2017 11:00 PM",Partly Cloudy,0%,75 F,91%,ENE 4.78 mph,partly-cloudy-night
