date,description,precipitation,temperature,humidity,wind,icon
"Fri 24, Mar 2017 12:00 AM",Drizzle,27%,23 C,89%,N 0.33 mph,rain
"Fri 24, Mar 2017 1:00 AM",Light Rain,57%,23 C,90%, 0.69 mph,rain
"Fri 24, Mar 2017 2:00 AM",Light Rain,54%,23 C,90%,N 0.71 mph,rain
"Fri 24, Mar 2017 3:00 AM",Drizzle,39%,24 C,91%,N 0.72 mph,rain
"Fri 24, Mar 2017 4:00 AM",Drizzle,31%,24 C,92%,N 0.83 mph,rain
"Fri 24, Mar 2017 5:00 AM",Mostly Cloudy,3%,23 C,91%,NNE 0.9 mph,partly-cloudy-night
"Fri 24, Mar 2017 6:00 AM",Mostly Cloudy,3%,23 C,91%,NE 1.02 mph,partly-cloudy-night
"Fri 24, Mar 2017 7:00 AM",Mostly Cloudy,9%,23 C,91%,NE 1.35 mph,partly-cloudy-day
"Fri 24, Mar 2017 8:00 AM",Mostly Cloudy,17%,24 C,88%,ENE 1.56 mph,partly-cloudy-day
"Fri 24, Mar 2017 9:00 AM",Mostly Cloudy,5%,26 C,84%,E 1.68 mph,partly-cloudy-day
"Fri 24, Mar 2017 10:00 AM",Mostly Cloudy,11%,28 C,80%,E 2.2 mph,partly-cloudy-day
"Fri 24, Mar 2017 11:00 AM",Drizzle,28%,29 C,78%,E 2.52 mph,rain
"Fri 24, Mar 2017 12:00 PM",Light Rain,53%,29 C,78%,ESE 2.53 mph,rain
"Fri 24, Mar 2017 1:00 PM",Light Rain,57%,28 C,79%,ESE 2.45 mph,rain
"Fri 24, Mar 2017 2:00 PM",Light Rain,57%,28 C,80%,E 2.41 mph,rain
"Fri 24, Mar 2017 3:00 PM",Light Rain,55%,27 C,81%,E 2.46 mph,rain
"Fri 24, Mar 2017 4:00 PM",Light Rain,56%,27 C,80%,E 2.45 mph,rain
"Fri 24, Mar 2017 5:00 PM",Light Rain,57%,26 C,80%,E 2.41 mph,rain
"Fri 24, Mar 2017 6:00 PM",Light Rain,57%,26 C,82%,E 2.24 mph,rain
"Fri 24, Mar 2017 7:00 PM",Light Rain,54%,25 C,85%,E 2.02 mph,rain
"Fri 24, Mar 2017 8:00 PM",Light Rain,50%,25 C,87%,E 1.76 mph,rain
"Fri 24, Mar 2017 9:00 PM",Drizzle,34%,24 C,87%,E 1.84 mph,rain
"Fri 24, Mar 2017 10:00 PM",Mostly Cloudy,15%,24 C,87%,E 2 mph,partly-cloudy-night
"Fri 24, Mar 2017 11:00 PM",Mostly Cloudy,6%,24 C,87%,ENE 2.13 mph,partly-cloudy-night
