date,description,precipitation,temperature,humidity,wind,icon
"Mon 10, Apr 2017 12:00 AM",Light Rain,66%,24 C,88%,NNE 1.81 mph,rain
"Mon 10, Apr 2017 1:00 AM",Light Rain,67%,24 C,90%,NNE 2.23 mph,rain
"Mon 10, Apr 2017 2:00 AM",Light Rain,60%,24 C,89%,NNE 2.3 mph,rain
"Mon 10, Apr 2017 3:00 AM",Drizzle,32%,24 C,89%,NNE 2.39 mph,rain
"Mon 10, Apr 2017 4:00 AM",Partly Cloudy,4%,24 C,89%,NE 2.19 mph,partly-cloudy-night
"Mon 10, Apr 2017 5:00 AM",Clear,0%,24 C,90%,NE 2.53 mph,clear-night
"Mon 10, Apr 2017 6:00 AM",Partly Cloudy,3%,24 C,89%,ENE 2.5 mph,partly-cloudy-night
"Mon 10, Apr 2017 7:00 AM",Drizzle,37%,25 C,88%,ENE 3.1 mph,rain
"Mon 10, Apr 2017 8:00 AM",Drizzle,35%,26 C,84%,ENE 3.4 mph,rain
"Mon 10, Apr 2017 9:00 AM",Light Rain,59%,28 C,81%,ENE 3.83 mph,rain
"Mon 10, Apr 2017 10:00 AM",Light Rain,68%,28 C,79%,E 4.47 mph,rain
"Mon 10, Apr 2017 11:00 AM",Light Rain,59%,28 C,79%,E 4.85 mph,rain
"Mon 10, Apr 2017 12:00 PM",Light Rain,62%,28 C,78%,E 4.84 mph,rain
"Mon 10, Apr 2017 1:00 PM",Light Rain,64%,28 C,78%,E 4.27 mph,rain
"Mon 10, Apr 2017 2:00 PM",Light Rain,73%,27 C,79%,E 3.68 mph,rain
"Mon 10, Apr 2017 3:00 PM",Rain,76%,27 C,79%,E 3.49 mph,rain
"Mon 10, Apr 2017 4:00 PM",Rain,75%,27 C,78%,E 3.73 mph,rain
"Mon 10, Apr 2017 5:00 PM",Light Rain,73%,26 C,78%,ENE 3.81 mph,rain
"Mon 10, Apr 2017 6:00 PM",Light Rain,71%,25 C,80%,ENE 3.77 mph,rain
"Mon 10, Apr 2017 7:00 PM",Light Rain,68%,25 C,82%,ENE 3.67 mph,rain
"Mon 10, Apr 2017 8:00 PM",Light Rain,63%,24 C,84%,ENE 3.73 mph,rain
"Mon 10, Apr 2017 9:00 PM",Light Rain,59%,24 C,84%,ENE 3.75 mph,rain
"Mon 10, Apr 2017 10:00 PM",Light Rain,52%,24 C,84%,ENE 3.81 mph,rain
"Mon 10, Apr 2017 11:00 PM",Drizzle,25%,23 C,84%,ENE 3.84 mph,rain
