date,description,precipitation,temperature,humidity,wind,icon
"Mon 10, Apr 2017 12:00 AM",Light Rain,74%,25 C,86%,NNE 2.63 mph,rain
"Mon 10, Apr 2017 1:00 AM",Light Rain,73%,25 C,87%,NNE 3.06 mph,rain
"Mon 10, Apr 2017 2:00 AM",Light Rain,66%,25 C,87%,NE 3.07 mph,rain
"Mon 10, Apr 2017 3:00 AM",Light Rain,55%,25 C,87%,NE 3.25 mph,rain
"Mon 10, Apr 2017 4:00 AM",Partly Cloudy,8%,25 C,88%,NE 3.08 mph,partly-cloudy-night
"Mon 10, Apr 2017 5:00 AM",Partly Cloudy,3%,25 C,87%,ENE 3.46 mph,partly-cloudy-night
"Mon 10, Apr 2017 6:00 AM",Partly Cloudy,8%,25 C,87%,ENE 3.44 mph,partly-cloudy-night
"Mon 10, Apr 2017 7:00 AM",Drizzle,35%,26 C,86%,ENE 3.98 mph,rain
"Mon 10, Apr 2017 8:00 AM",Drizzle,37%,27 C,83%,ENE 4.22 mph,rain
"Mon 10, Apr 2017 9:00 AM",Light Rain,61%,28 C,81%,E 4.62 mph,rain
"Mon 10, Apr 2017 10:00 AM",Light Rain,70%,28 C,80%,E 5.18 mph,rain
"Mon 10, Apr 2017 11:00 AM",Light Rain,58%,28 C,79%,E 5.63 mph,rain
"Mon 10, Apr 2017 12:00 PM",Light Rain,57%,28 C,78%,E 5.57 mph,rain
"Mon 10, Apr 2017 1:00 PM",Light Rain,58%,28 C,79%,E 5.23 mph,rain
"Mon 10, Apr 2017 2:00 PM",Rain,74%,27 C,80%,E 4.65 mph,rain
"Mon 10, Apr 2017 3:00 PM",Rain,77%,27 C,80%,E 4.31 mph,rain
"Mon 10, Apr 2017 4:00 PM",Rain,75%,27 C,78%,E 4.6 mph,rain
"Mon 10, Apr 2017 5:00 PM",Rain,74%,26 C,78%,ENE 4.75 mph,rain
"Mon 10, Apr 2017 6:00 PM",Light Rain,71%,26 C,79%,ENE 4.91 mph,rain
"Mon 10, Apr 2017 7:00 PM",Light Rain,67%,25 C,80%,ENE 5.04 mph,rain
"Mon 10, Apr 2017 8:00 PM",Light Rain,59%,25 C,81%,ENE 5.23 mph,rain
"Mon 10, Apr 2017 9:00 PM",Light Rain,54%,25 C,81%,ENE 5.32 mph,rain
"Mon 10, Apr 2017 10:00 PM",Drizzle,34%,25 C,81%,ENE 5.39 mph,rain
"Mon 10, Apr 2017 11:00 PM",Partly Cloudy,12%,25 C,81%,ENE 5.33 mph,partly-cloudy-night
