date,description,precipitation,temperature,humidity,wind,icon
"Fri 24, Mar 2017 12:00 AM",Drizzle,54%,76 F,89%,ESE 2.18 mph,rain
"Fri 24, Mar 2017 1:00 AM",Light Rain,51%,76 F,90%,E 2.8 mph,rain
"Fri 24, Mar 2017 2:00 AM",Light Rain,59%,77 F,90%,E 3.29 mph,rain
"Fri 24, Mar 2017 3:00 AM",Light Rain,63%,77 F,90%,E 3.55 mph,rain
"Fri 24, Mar 2017 4:00 AM",Light Rain,60%,77 F,90%,E 3.73 mph,rain
"Fri 24, Mar 2017 5:00 AM",Light Rain,56%,77 F,91%,ENE 3.86 mph,rain
"Fri 24, Mar 2017 6:00 AM",Light Rain,53%,77 F,91%,ENE 4.02 mph,rain
"Fri 24, Mar 2017 7:00 AM",Light Rain,50%,77 F,90%,ENE 4.68 mph,rain
"Fri 24, Mar 2017 8:00 AM",Light Rain,53%,77 F,87%,ENE 5.47 mph,rain
"Fri 24, Mar 2017 9:00 AM",Light Rain,65%,79 F,84%,ENE 6.57 mph,rain
"Fri 24, Mar 2017 10:00 AM",Light Rain,73%,79 F,83%,ENE 7.98 mph,rain
"Fri 24, Mar 2017 11:00 AM",Light Rain,70%,81 F,82%,E 8.64 mph,rain
"Fri 24, Mar 2017 12:00 PM",Light Rain,59%,82 F,82%,E 9.39 mph,rain
"Fri 24, Mar 2017 1:00 PM",Light Rain,63%,83 F,81%,E 10.33 mph,rain
"Fri 24, Mar 2017 2:00 PM",Light Rain,68%,83 F,81%,E 9.77 mph,rain
"Fri 24, Mar 2017 3:00 PM",Light Rain,63%,82 F,82%,E 9.82 mph,rain
"Fri 24, Mar 2017 4:00 PM",Light Rain,62%,81 F,82%,E 10.02 mph,rain
"Fri 24, Mar 2017 5:00 PM",Light Rain,61%,80 F,81%,E 10 mph,rain
"Fri 24, Mar 2017 6:00 PM",Light Rain,59%,79 F,84%,E 9.4 mph,rain
"Fri 24, Mar 2017 7:00 PM",Light Rain,57%,77 F,85%,E 8.67 mph,rain
"Fri 24, Mar 2017 8:00 PM",Light Rain,55%,77 F,85%,E 8.18 mph,rain
"Fri 24, Mar 2017 9:00 PM",Light Rain,54%,76 F,86%,E 8.1 mph,rain
"Fri 24, Mar 2017 10:00 PM",Light Rain,54%,78 F,87%,E 8.27 mph,rain
"Fri 24, Mar 2017 11:00 PM",Light Rain,56%,78 F,86%,E 8.43 mph,rain
