date,description,precipitation,temperature,humidity,wind,icon
"Wed 22, Mar 2017 12:00 AM",Clear,5%,74 F,88%,NE 6.56 mph,clear-night
"Wed 22, Mar 2017 1:00 AM",Clear,3%,74 F,88%,NE 7.37 mph,clear-night
"Wed 22, Mar 2017 2:00 AM",Clear,1%,75 F,89%,NE 7.55 mph,clear-night
"Wed 22, Mar 2017 3:00 AM",Clear,0%,74 F,89%,ENE 7.64 mph,clear-night
"Wed 22, Mar 2017 4:00 AM",Clear,0%,74 F,89%,ENE 8.05 mph,clear-night
"Wed 22, Mar 2017 5:00 AM",Partly Cloudy,0%,74 F,89%,ENE 8.69 mph,partly-cloudy-night
"Wed 22, Mar 2017 6:00 AM",Clear,1%,75 F,88%,ENE 8.66 mph,clear-night
"Wed 22, Mar 2017 7:00 AM",Partly Cloudy,5%,75 F,88%,ENE 8.85 mph,partly-cloudy-day
"Wed 22, Mar 2017 8:00 AM",Clear,8%,77 F,84%,ENE 9.31 mph,clear-day
"Wed 22, Mar 2017 9:00 AM",Clear,7%,79 F,80%,ENE 9.87 mph,clear-day
"Wed 22, Mar 2017 10:00 AM",Partly Cloudy,5%,81 F,75%,E 10.53 mph,partly-cloudy-day
"Wed 22, Mar 2017 11:00 AM",Partly Cloudy,11%,85 F,72%,E 10.2 mph,partly-cloudy-day
"Wed 22, Mar 2017 12:00 PM",Drizzle,34%,87 F,70%,E 9.56 mph,rain
"Wed 22, Mar 2017 1:00 PM",Drizzle,46%,88 F,70%,E 9.31 mph,rain
"Wed 22, Mar 2017 2:00 PM",Light Rain,58%,86 F,72%,E 8.87 mph,rain
"Wed 22, Mar 2017 3:00 PM",Light Rain,60%,84 F,75%,E 7.7 mph,rain
"Wed 22, Mar 2017 4:00 PM",Light Rain,57%,83 F,75%,E 7.76 mph,rain
"Wed 22, Mar 2017 5:00 PM",Light Rain,55%,81 F,76%,E 7.44 mph,rain
"Wed 22, Mar 2017 6:00 PM",Light Rain,58%,80 F,79%,E 6.87 mph,rain
"Wed 22, Mar 2017 7:00 PM",Light Rain,63%,78 F,83%,ENE 6.39 mph,rain
"Wed 22, Mar 2017 8:00 PM",Light Rain,65%,77 F,87%,ENE 6.31 mph,rain
"Wed 22, Mar 2017 9:00 PM",Light Rain,64%,76 F,88%,ENE 6.33 mph,rain
"Wed 22, Mar 2017 10:00 PM",Light Rain,60%,76 F,88%,ENE 6.54 mph,rain
"Wed 22, Mar 2017 11:00 PM",Light Rain,56%,76 F,89%,ENE 6.86 mph,rain
