date,description,precipitation,temperature,humidity,wind,icon
"Sat 01, Apr 2017 12:00 AM",Partly Cloudy,0%,74 F,80%,NE 7.77 mph,partly-cloudy-night
"Sat 01, Apr 2017 1:00 AM",Partly Cloudy,0%,75 F,82%,NE 8.38 mph,partly-cloudy-night
"Sat 01, Apr 2017 2:00 AM",Partly Cloudy,0%,75 F,83%,NE 8.41 mph,partly-cloudy-night
"Sat 01, Apr 2017 3:00 AM",Partly Cloudy,0%,75 F,85%,NE 8.43 mph,partly-cloudy-night
"Sat 01, Apr 2017 4:00 AM",Partly Cloudy,0%,75 F,85%,NE 8.24 mph,partly-cloudy-night
"Sat 01, Apr 2017 5:00 AM",Partly Cloudy,0%,75 F,86%,NE 8.45 mph,partly-cloudy-night
"Sat 01, Apr 2017 6:00 AM",Partly Cloudy,0%,75 F,86%,ENE 7.94 mph,partly-cloudy-night
"Sat 01, Apr 2017 7:00 AM",Partly Cloudy,0%,76 F,85%,ENE 7.68 mph,partly-cloudy-day
"Sat 01, Apr 2017 8:00 AM",Partly Cloudy,0%,78 F,82%,ENE 8.01 mph,partly-cloudy-day
"Sat 01, Apr 2017 9:00 AM",Partly Cloudy,1%,80 F,79%,ENE 8.36 mph,partly-cloudy-day
"Sat 01, Apr 2017 10:00 AM",Partly Cloudy,0%,82 F,76%,ENE 8.37 mph,partly-cloudy-day
"Sat 01, Apr 2017 11:00 AM",Partly Cloudy,2%,85 F,74%,ENE 8.61 mph,partly-cloudy-day
"Sat 01, Apr 2017 12:00 PM",Partly Cloudy,10%,87 F,74%,E 8.7 mph,partly-cloudy-day
"Sat 01, Apr 2017 1:00 PM",Drizzle,35%,88 F,74%,E 8.66 mph,rain
"Sat 01, Apr 2017 2:00 PM",Light Rain,51%,87 F,74%,E 8.21 mph,rain
"Sat 01, Apr 2017 3:00 PM",Light Rain,56%,85 F,75%,E 7.78 mph,rain
"Sat 01, Apr 2017 4:00 PM",Light Rain,61%,84 F,76%,E 8.23 mph,rain
"Sat 01, Apr 2017 5:00 PM",Light Rain,64%,82 F,76%,ENE 8.45 mph,rain
"Sat 01, Apr 2017 6:00 PM",Light Rain,64%,80 F,80%,ENE 8.21 mph,rain
"Sat 01, Apr 2017 7:00 PM",Light Rain,61%,79 F,83%,ENE 7.6 mph,rain
"Sat 01, Apr 2017 8:00 PM",Light Rain,56%,77 F,86%,ENE 7.14 mph,rain
"Sat 01, Apr 2017 9:00 PM",Light Rain,51%,76 F,86%,ENE 6.88 mph,rain
"Sat 01, Apr 2017 10:00 PM",Drizzle,39%,76 F,86%,ENE 6.87 mph,rain
"Sat 01, Apr 2017 11:00 PM",Drizzle,25%,77 F,89%,ENE 6.93 mph,rain
