date,description,precipitation,cloud coverage,temperature,humidity,wind,icon
"Tue 11, Apr 2017 1:00 AM",Partly Cloudy,0%,29%,77 F,85%,ENE 2.96 mph,partly-cloudy-night
"Tue 11, Apr 2017 2:00 AM",Partly Cloudy,12%,28%,76 F,85%,ENE 3.52 mph,partly-cloudy-night
"Tue 11, Apr 2017 3:00 AM",Drizzle,24%,28%,76 F,85%,ENE 4.36 mph,rain
"Tue 11, Apr 2017 4:00 AM",Drizzle,31%,15%,76 F,85%,ENE 4.71 mph,rain
"Tue 11, Apr 2017 5:00 AM",Drizzle,36%,15%,76 F,85%,ENE 5.46 mph,rain
"Tue 11, Apr 2017 6:00 AM",Drizzle,43%,26%,77 F,85%,ENE 5.93 mph,rain
"Tue 11, Apr 2017 7:00 AM",Light Rain,58%,25%,77 F,84%,ENE 5.95 mph,rain
"Tue 11, Apr 2017 8:00 AM",Light Rain,59%,14%,78 F,83%,ENE 6.75 mph,rain
"Tue 11, Apr 2017 9:00 AM",Light Rain,54%,27%,80 F,81%,ENE 6.22 mph,rain
"Tue 11, Apr 2017 10:00 AM",Light Rain,50%,31%,81 F,78%,ENE 5.18 mph,rain
"Tue 11, Apr 2017 11:00 AM",Light Rain,51%,33%,82 F,75%,E 3.9 mph,rain
"Tue 11, Apr 2017 12:00 PM",Drizzle,47%,34%,82 F,74%,ESE 3.48 mph,rain
"Tue 11, Apr 2017 1:00 PM",Light Rain,52%,46%,82 F,74%,ESE 2.97 mph,rain
"Tue 11, Apr 2017 2:00 PM",Light Rain,53%,44%,81 F,74%,SE 3.44 mph,rain
"Tue 11, Apr 2017 3:00 PM",Light Rain,57%,42%,81 F,75%,E 3.95 mph,rain
"Tue 11, Apr 2017 4:00 PM",Light Rain,59%,40%,81 F,75%,ENE 4.29 mph,rain
"Tue 11, Apr 2017 5:00 PM",Light Rain,58%,38%,80 F,76%,ENE 3.96 mph,rain
"Tue 11, Apr 2017 6:00 PM",Light Rain,60%,38%,80 F,78%,ENE 3.91 mph,rain
"Tue 11, Apr 2017 7:00 PM",Light Rain,59%,38%,79 F,80%,NE 4.07 mph,rain
"Tue 11, Apr 2017 8:00 PM",Light Rain,55%,27%,79 F,82%,NE 4.41 mph,rain
"Tue 11, Apr 2017 9:00 PM",Light Rain,52%,26%,78 F,83%,NE 4.79 mph,rain
"Tue 11, Apr 2017 10:00 PM",Drizzle,39%,6%,78 F,84%,NE 5.43 mph,rain
"Tue 11, Apr 2017 11:00 PM",Drizzle,26%,5%,78 F,84%,NE 5.9 mph,rain
"Wed 12, Apr 2017 12:00 AM",Drizzle,33%,5%,78 F,85%,NE 6.08 mph,rain
