date,description,precipitation,temperature,humidity,wind,icon
"Sat 01, Apr 2017 12:00 AM",Clear,0%,75 F,82%,ENE 7.79 mph,clear-night
"Sat 01, Apr 2017 1:00 AM",Clear,0%,75 F,84%,NE 7.57 mph,clear-night
"Sat 01, Apr 2017 2:00 AM",Clear,0%,75 F,85%,NE 7.31 mph,clear-night
"Sat 01, Apr 2017 3:00 AM",Clear,0%,75 F,85%,ENE 6.98 mph,clear-night
"Sat 01, Apr 2017 4:00 AM",Clear,0%,75 F,85%,ENE 6.77 mph,clear-night
"Sat 01, Apr 2017 5:00 AM",Clear,0%,75 F,85%,ENE 6.6 mph,clear-night
"Sat 01, Apr 2017 6:00 AM",Clear,0%,75 F,84%,ENE 5.96 mph,clear-night
"Sat 01, Apr 2017 7:00 AM",Clear,0%,75 F,84%,ENE 5.99 mph,clear-day
"Sat 01, Apr 2017 8:00 AM",Clear,0%,78 F,80%,ENE 5.52 mph,clear-day
"Sat 01, Apr 2017 9:00 AM",Clear,0%,81 F,76%,NE 5.11 mph,clear-day
"Sat 01, Apr 2017 10:00 AM",Clear,0%,85 F,72%,NE 5.12 mph,clear-day
"Sat 01, Apr 2017 11:00 AM",Clear,0%,88 F,70%,NE 4.57 mph,clear-day
"Sat 01, Apr 2017 12:00 PM",Clear,11%,89 F,72%,NNE 4.56 mph,clear-day
"Sat 01, Apr 2017 1:00 PM",Light Rain,55%,87 F,75%,N 5.05 mph,rain
"Sat 01, Apr 2017 2:00 PM",Light Rain,58%,86 F,78%,N 5.8 mph,rain
"Sat 01, Apr 2017 3:00 PM",Light Rain,61%,83 F,81%,NNE 6.45 mph,rain
"Sat 01, Apr 2017 4:00 PM",Light Rain,67%,82 F,83%,NNE 6.14 mph,rain
"Sat 01, Apr 2017 5:00 PM",Light Rain,71%,81 F,85%,NNE 6.62 mph,rain
"Sat 01, Apr 2017 6:00 PM",Light Rain,69%,80 F,87%,NE 6.83 mph,rain
"Sat 01, Apr 2017 7:00 PM",Light Rain,63%,79 F,89%,NE 6.88 mph,rain
"Sat 01, Apr 2017 8:00 PM",Light Rain,50%,78 F,90%,NE 6.89 mph,rain
"Sat 01, Apr 2017 9:00 PM",Partly Cloudy,13%,78 F,90%,ENE 6.65 mph,partly-cloudy-night
"Sat 01, Apr 2017 10:00 PM",Clear,2%,77 F,90%,ENE 6.12 mph,clear-night
"Sat 01, Apr 2017 11:00 PM",Clear,0%,77 F,90%,ENE 5.64 mph,clear-night
