date,description,precipitation,temperature,humidity,wind,icon
"Mon 10, Apr 2017 12:00 AM",Drizzle,32%,73 F,91%,NNE 3.28 mph,rain
"Mon 10, Apr 2017 1:00 AM",Light Rain,55%,73 F,92%,NNE 3.84 mph,rain
"Mon 10, Apr 2017 2:00 AM",Light Rain,53%,73 F,91%,NNE 3.92 mph,rain
"Mon 10, Apr 2017 3:00 AM",Drizzle,25%,73 F,91%,NE 3.87 mph,rain
"Mon 10, Apr 2017 4:00 AM",Partly Cloudy,13%,73 F,91%,NE 3.7 mph,partly-cloudy-night
"Mon 10, Apr 2017 5:00 AM",Partly Cloudy,0%,72 F,92%,ENE 3.53 mph,partly-cloudy-night
"Mon 10, Apr 2017 6:00 AM",Partly Cloudy,0%,73 F,91%,ENE 3.77 mph,partly-cloudy-night
"Mon 10, Apr 2017 7:00 AM",Partly Cloudy,2%,74 F,89%,ENE 4.45 mph,partly-cloudy-day
"Mon 10, Apr 2017 8:00 AM",Partly Cloudy,6%,77 F,84%,ENE 5.18 mph,partly-cloudy-day
"Mon 10, Apr 2017 9:00 AM",Partly Cloudy,0%,81 F,79%,ENE 5.59 mph,partly-cloudy-day
"Mon 10, Apr 2017 10:00 AM",Partly Cloudy,1%,85 F,75%,ENE 6.01 mph,partly-cloudy-day
"Mon 10, Apr 2017 11:00 AM",Drizzle,42%,87 F,74%,ENE 6.43 mph,rain
"Mon 10, Apr 2017 12:00 PM",Light Rain,68%,86 F,74%,ENE 6.31 mph,rain
"Mon 10, Apr 2017 1:00 PM",Rain,75%,83 F,75%,ENE 5.81 mph,rain
"Mon 10, Apr 2017 2:00 PM",Light Rain,72%,81 F,76%,ENE 5.2 mph,rain
"Mon 10, Apr 2017 3:00 PM",Light Rain,72%,82 F,76%,E 5.27 mph,rain
"Mon 10, Apr 2017 4:00 PM",Rain,74%,80 F,76%,E 6.08 mph,rain
"Mon 10, Apr 2017 5:00 PM",Rain,74%,79 F,77%,E 6.64 mph,rain
"Mon 10, Apr 2017 6:00 PM",Light Rain,72%,77 F,79%,ENE 6.71 mph,rain
"Mon 10, Apr 2017 7:00 PM",Light Rain,65%,75 F,82%,ENE 6.44 mph,rain
"Mon 10, Apr 2017 8:00 PM",Light Rain,50%,73 F,85%,ENE 6.56 mph,rain
"Mon 10, Apr 2017 9:00 PM",Clear,9%,73 F,85%,ENE 6.63 mph,clear-night
"Mon 10, Apr 2017 10:00 PM",Clear,4%,73 F,86%,ENE 6.77 mph,clear-night
"Mon 10, Apr 2017 11:00 PM",Clear,3%,73 F,87%,ENE 6.8 mph,clear-night
