date,description,precipitation,temperature,humidity,wind,icon
"Sun 19, Mar 2017 6:00 PM",Partly Cloudy,0%,78 F,74%,NE 5.93 mph,partly-cloudy-day
"Sun 19, Mar 2017 7:00 PM",Partly Cloudy,0%,77 F,78%,NE 5.53 mph,partly-cloudy-night
"Sun 19, Mar 2017 8:00 PM",Partly Cloudy,0%,76 F,82%,NE 5.53 mph,partly-cloudy-night
"Sun 19, Mar 2017 9:00 PM",Partly Cloudy,0%,76 F,84%,NE 5.79 mph,partly-cloudy-night
"Sun 19, Mar 2017 10:00 PM",Partly Cloudy,0%,75 F,86%,NE 6.36 mph,partly-cloudy-night
"Sun 19, Mar 2017 11:00 PM",Partly Cloudy,0%,75 F,88%,ENE 7.56 mph,partly-cloudy-night
"Mon 20, Mar 2017 12:00 AM",Clear,0%,75 F,89%,ENE 7.72 mph,clear-night
"Mon 20, Mar 2017 1:00 AM",Partly Cloudy,2%,75 F,88%,ENE 7.81 mph,partly-cloudy-night
"Mon 20, Mar 2017 2:00 AM",Mostly Cloudy,13%,75 F,88%,ENE 7.2 mph,partly-cloudy-night
"Mon 20, Mar 2017 3:00 AM",Mostly Cloudy,19%,76 F,89%,ENE 6.74 mph,partly-cloudy-night
"Mon 20, Mar 2017 4:00 AM",Drizzle,24%,76 F,89%,ENE 6.09 mph,rain
"Mon 20, Mar 2017 5:00 AM",Drizzle,39%,76 F,91%,E 6.32 mph,rain
"Mon 20, Mar 2017 6:00 AM",Mostly Cloudy,8%,76 F,88%,E 6.87 mph,partly-cloudy-night
"Mon 20, Mar 2017 7:00 AM",Partly Cloudy,14%,76 F,89%,E 6.64 mph,partly-cloudy-day
"Mon 20, Mar 2017 8:00 AM",Drizzle,25%,77 F,84%,E 6.52 mph,rain
"Mon 20, Mar 2017 9:00 AM",Drizzle,30%,78 F,81%,E 6.72 mph,rain
"Mon 20, Mar 2017 10:00 AM",Partly Cloudy,5%,80 F,79%,ESE 6.2 mph,partly-cloudy-day
"Mon 20, Mar 2017 11:00 AM",Partly Cloudy,4%,82 F,76%,E 6.29 mph,partly-cloudy-day
"Mon 20, Mar 2017 12:00 PM",Partly Cloudy,9%,83 F,75%,E 6.46 mph,partly-cloudy-day
"Mon 20, Mar 2017 1:00 PM",Drizzle,24%,84 F,75%,E 6.87 mph,rain
"Mon 20, Mar 2017 2:00 PM",Light Rain,52%,84 F,75%,E 7.11 mph,rain
"Mon 20, Mar 2017 3:00 PM",Light Rain,62%,83 F,76%,E 7.3 mph,rain
"Mon 20, Mar 2017 4:00 PM",Light Rain,68%,80 F,77%,E 7.19 mph,rain
"Mon 20, Mar 2017 5:00 PM",Light Rain,72%,79 F,80%,ENE 7.02 mph,rain
