date,description,precipitation,temperature,humidity,wind,icon
"Sun 02, Apr 2017 12:00 AM",Partly Cloudy,0%,75 F,87%,NE 3.44 mph,partly-cloudy-night
"Sun 02, Apr 2017 1:00 AM",Partly Cloudy,0%,74 F,88%,ENE 4.12 mph,partly-cloudy-night
"Sun 02, Apr 2017 2:00 AM",Partly Cloudy,0%,74 F,89%,ENE 4.23 mph,partly-cloudy-night
"Sun 02, Apr 2017 3:00 AM",Partly Cloudy,0%,74 F,91%,E 4.33 mph,partly-cloudy-night
"Sun 02, Apr 2017 4:00 AM",Partly Cloudy,0%,74 F,91%,E 4.49 mph,partly-cloudy-night
"Sun 02, Apr 2017 5:00 AM",Partly Cloudy,0%,74 F,91%,E 4.63 mph,partly-cloudy-night
"Sun 02, Apr 2017 6:00 AM",Partly Cloudy,0%,74 F,90%,E 4.47 mph,partly-cloudy-night
"Sun 02, Apr 2017 7:00 AM",Partly Cloudy,1%,75 F,90%,ENE 4.47 mph,partly-cloudy-day
"Sun 02, Apr 2017 8:00 AM",Partly Cloudy,0%,78 F,86%,ENE 4.82 mph,partly-cloudy-day
"Sun 02, Apr 2017 9:00 AM",Partly Cloudy,0%,81 F,80%,ENE 5.08 mph,partly-cloudy-day
"Sun 02, Apr 2017 10:00 AM",Partly Cloudy,0%,84 F,75%,ENE 5.41 mph,partly-cloudy-day
"Sun 02, Apr 2017 11:00 AM",Partly Cloudy,0%,86 F,72%,NE 5.45 mph,partly-cloudy-day
"Sun 02, Apr 2017 12:00 PM",Partly Cloudy,2%,88 F,70%,NE 5.76 mph,partly-cloudy-day
"Sun 02, Apr 2017 1:00 PM",Partly Cloudy,12%,89 F,70%,NE 6.03 mph,partly-cloudy-day
"Sun 02, Apr 2017 2:00 PM",Light Rain,52%,90 F,70%,NE 6.15 mph,rain
"Sun 02, Apr 2017 3:00 PM",Light Rain,67%,87 F,72%,NNE 6.68 mph,rain
"Sun 02, Apr 2017 4:00 PM",Rain,73%,86 F,74%,NNE 7.06 mph,rain
"Sun 02, Apr 2017 5:00 PM",Rain,77%,84 F,75%,NNE 7.24 mph,rain
"Sun 02, Apr 2017 6:00 PM",Rain,75%,82 F,79%,NNE 7.02 mph,rain
"Sun 02, Apr 2017 7:00 PM",Light Rain,68%,80 F,83%,NE 6.46 mph,rain
"Sun 02, Apr 2017 8:00 PM",Drizzle,46%,78 F,86%,NE 6.21 mph,rain
"Sun 02, Apr 2017 9:00 PM",Mostly Cloudy,1%,77 F,87%,NE 6.07 mph,partly-cloudy-night
"Sun 02, Apr 2017 10:00 PM",Partly Cloudy,2%,75 F,88%,NE 6.01 mph,partly-cloudy-night
"Sun 02, Apr 2017 11:00 PM",Mostly Cloudy,5%,75 F,91%,NE 6 mph,partly-cloudy-night
