date,description,precipitation,temperature,humidity,wind,icon
"Mon 10, Apr 2017 12:00 AM",Partly Cloudy,25%,72 F,90%,NNE 3.42 mph,partly-cloudy-night
"Mon 10, Apr 2017 1:00 AM",Light Rain,50%,72 F,91%,NNE 4.03 mph,rain
"Mon 10, Apr 2017 2:00 AM",Drizzle,32%,72 F,91%,NNE 4.11 mph,rain
"Mon 10, Apr 2017 3:00 AM",Partly Cloudy,6%,72 F,91%,NNE 4.17 mph,partly-cloudy-night
"Mon 10, Apr 2017 4:00 AM",Partly Cloudy,3%,72 F,91%,NNE 3.96 mph,partly-cloudy-night
"Mon 10, Apr 2017 5:00 AM",Partly Cloudy,0%,71 F,91%,NE 3.41 mph,partly-cloudy-night
"Mon 10, Apr 2017 6:00 AM",Partly Cloudy,0%,72 F,91%,NE 3.15 mph,partly-cloudy-night
"Mon 10, Apr 2017 7:00 AM",Partly Cloudy,4%,73 F,89%,NE 3.7 mph,partly-cloudy-day
"Mon 10, Apr 2017 8:00 AM",Partly Cloudy,9%,77 F,84%,ENE 4.56 mph,partly-cloudy-day
"Mon 10, Apr 2017 9:00 AM",Partly Cloudy,3%,82 F,79%,ENE 4.88 mph,partly-cloudy-day
"Mon 10, Apr 2017 10:00 AM",Partly Cloudy,7%,86 F,75%,ENE 5.33 mph,partly-cloudy-day
"Mon 10, Apr 2017 11:00 AM",Light Rain,51%,88 F,74%,E 5.76 mph,rain
"Mon 10, Apr 2017 12:00 PM",Light Rain,70%,86 F,74%,E 5.85 mph,rain
"Mon 10, Apr 2017 1:00 PM",Rain,77%,82 F,75%,E 4.79 mph,rain
"Mon 10, Apr 2017 2:00 PM",Rain,75%,81 F,76%,E 4.09 mph,rain
"Mon 10, Apr 2017 3:00 PM",Light Rain,73%,82 F,76%,E 4.08 mph,rain
"Mon 10, Apr 2017 4:00 PM",Light Rain,71%,81 F,77%,E 4.45 mph,rain
"Mon 10, Apr 2017 5:00 PM",Light Rain,63%,79 F,78%,E 4.83 mph,rain
"Mon 10, Apr 2017 6:00 PM",Light Rain,57%,77 F,80%,E 5.24 mph,rain
"Mon 10, Apr 2017 7:00 PM",Light Rain,54%,75 F,83%,ENE 5.82 mph,rain
"Mon 10, Apr 2017 8:00 PM",Light Rain,52%,73 F,85%,ENE 6.32 mph,rain
"Mon 10, Apr 2017 9:00 PM",Drizzle,38%,72 F,86%,ENE 6.51 mph,rain
"Mon 10, Apr 2017 10:00 PM",Drizzle,21%,72 F,87%,ENE 6.69 mph,rain
"Mon 10, Apr 2017 11:00 PM",Partly Cloudy,10%,73 F,88%,ENE 6.73 mph,partly-cloudy-night
