date,description,precipitation,temperature,humidity,wind,icon
"Mon 10, Apr 2017 12:00 AM",Partly Cloudy,0%,74 F,88%,N 5.48 mph,partly-cloudy-night
"Mon 10, Apr 2017 1:00 AM",Partly Cloudy,0%,74 F,89%,N 5.56 mph,partly-cloudy-night
"Mon 10, Apr 2017 2:00 AM",Partly Cloudy,0%,73 F,90%,NNE 5.54 mph,partly-cloudy-night
"Mon 10, Apr 2017 3:00 AM",Partly Cloudy,0%,74 F,90%,NNE 5.68 mph,partly-cloudy-night
"Mon 10, Apr 2017 4:00 AM",Partly Cloudy,0%,74 F,90%,NNE 5.7 mph,partly-cloudy-night
"Mon 10, Apr 2017 5:00 AM",Partly Cloudy,0%,73 F,90%,NNE 4.95 mph,partly-cloudy-night
"Mon 10, Apr 2017 6:00 AM",Partly Cloudy,0%,74 F,89%,NE 4.89 mph,partly-cloudy-night
"Mon 10, Apr 2017 7:00 AM",Partly Cloudy,0%,75 F,87%,NE 5.12 mph,partly-cloudy-day
"Mon 10, Apr 2017 8:00 AM",Partly Cloudy,0%,79 F,82%,ENE 5.73 mph,partly-cloudy-day
"Mon 10, Apr 2017 9:00 AM",Partly Cloudy,0%,82 F,78%,ENE 5.88 mph,partly-cloudy-day
"Mon 10, Apr 2017 10:00 AM",Partly Cloudy,0%,86 F,74%,E 6.47 mph,partly-cloudy-day
"Mon 10, Apr 2017 11:00 AM",Partly Cloudy,7%,89 F,72%,E 7.11 mph,partly-cloudy-day
"Mon 10, Apr 2017 12:00 PM",Light Rain,64%,88 F,73%,E 7.59 mph,rain
"Mon 10, Apr 2017 1:00 PM",Light Rain,71%,84 F,76%,E 6.14 mph,rain
"Mon 10, Apr 2017 2:00 PM",Light Rain,67%,83 F,77%,E 5.04 mph,rain
"Mon 10, Apr 2017 3:00 PM",Light Rain,67%,84 F,77%,E 5.05 mph,rain
"Mon 10, Apr 2017 4:00 PM",Light Rain,69%,82 F,77%,E 5.53 mph,rain
"Mon 10, Apr 2017 5:00 PM",Light Rain,69%,81 F,78%,E 5.79 mph,rain
"Mon 10, Apr 2017 6:00 PM",Light Rain,67%,79 F,80%,ENE 6.05 mph,rain
"Mon 10, Apr 2017 7:00 PM",Light Rain,59%,77 F,83%,ENE 6.44 mph,rain
"Mon 10, Apr 2017 8:00 PM",Drizzle,26%,75 F,85%,ENE 7.18 mph,rain
"Mon 10, Apr 2017 9:00 PM",Partly Cloudy,16%,74 F,86%,NE 7.89 mph,partly-cloudy-night
"Mon 10, Apr 2017 10:00 PM",Drizzle,34%,74 F,87%,ENE 8.64 mph,rain
"Mon 10, Apr 2017 11:00 PM",Drizzle,46%,74 F,87%,ENE 9.06 mph,rain
