date,description,precipitation,temperature,humidity,wind,icon
"Sat 01, Apr 2017 12:00 AM",Clear,0%,74 F,83%,NE 7.95 mph,clear-night
"Sat 01, Apr 2017 1:00 AM",Clear,0%,74 F,85%,NE 8.04 mph,clear-night
"Sat 01, Apr 2017 2:00 AM",Clear,0%,73 F,85%,NE 7.99 mph,clear-night
"Sat 01, Apr 2017 3:00 AM",Clear,0%,74 F,86%,NE 7.93 mph,clear-night
"Sat 01, Apr 2017 4:00 AM",Clear,0%,73 F,87%,NE 7.78 mph,clear-night
"Sat 01, Apr 2017 5:00 AM",Clear,0%,73 F,87%,NE 7.47 mph,clear-night
"Sat 01, Apr 2017 6:00 AM",Partly Cloudy,0%,74 F,88%,NE 6.91 mph,partly-cloudy-night
"Sat 01, Apr 2017 7:00 AM",Partly Cloudy,0%,74 F,87%,NE 6.81 mph,partly-cloudy-day
"Sat 01, Apr 2017 8:00 AM",Partly Cloudy,0%,78 F,83%,NE 7.33 mph,partly-cloudy-day
"Sat 01, Apr 2017 9:00 AM",Partly Cloudy,0%,82 F,79%,ENE 7.97 mph,partly-cloudy-day
"Sat 01, Apr 2017 10:00 AM",Partly Cloudy,0%,87 F,74%,ENE 8.4 mph,partly-cloudy-day
"Sat 01, Apr 2017 11:00 AM",Partly Cloudy,0%,91 F,72%,E 8.6 mph,partly-cloudy-day
"Sat 01, Apr 2017 12:00 PM",Drizzle,36%,92 F,71%,E 8.6 mph,rain
"Sat 01, Apr 2017 1:00 PM",Light Rain,56%,91 F,73%,E 8.42 mph,rain
"Sat 01, Apr 2017 2:00 PM",Light Rain,63%,88 F,75%,E 7.54 mph,rain
"Sat 01, Apr 2017 3:00 PM",Light Rain,68%,86 F,76%,E 6.94 mph,rain
"Sat 01, Apr 2017 4:00 PM",Rain,75%,85 F,78%,E 7.32 mph,rain
"Sat 01, Apr 2017 5:00 PM",Rain,78%,83 F,80%,E 7.47 mph,rain
"Sat 01, Apr 2017 6:00 PM",Rain,78%,81 F,83%,E 7.43 mph,rain
"Sat 01, Apr 2017 7:00 PM",Light Rain,73%,79 F,86%,ENE 7.39 mph,rain
"Sat 01, Apr 2017 8:00 PM",Light Rain,63%,77 F,88%,ENE 7.51 mph,rain
"Sat 01, Apr 2017 9:00 PM",Light Rain,50%,77 F,89%,ENE 7.31 mph,rain
"Sat 01, Apr 2017 10:00 PM",Clear,17%,76 F,90%,ENE 6.97 mph,clear-night
"Sat 01, Apr 2017 11:00 PM",Clear,1%,76 F,90%,ENE 6.71 mph,clear-night
