date,description,precipitation,temperature,humidity,wind,icon
"Mon 10, Apr 2017 12:00 AM",Light Rain,62%,24 C,90%,NNE 2.64 mph,rain
"Mon 10, Apr 2017 1:00 AM",Light Rain,49%,24 C,90%,NNE 2.56 mph,rain
"Mon 10, Apr 2017 2:00 AM",Drizzle,42%,24 C,90%,NE 2.53 mph,rain
"Mon 10, Apr 2017 3:00 AM",Partly Cloudy,8%,24 C,90%,NE 2.49 mph,partly-cloudy-night
"Mon 10, Apr 2017 4:00 AM",Partly Cloudy,5%,24 C,90%,NE 2.52 mph,partly-cloudy-night
"Mon 10, Apr 2017 5:00 AM",Partly Cloudy,17%,24 C,90%,NE 2.49 mph,partly-cloudy-night
"Mon 10, Apr 2017 6:00 AM",Partly Cloudy,0%,24 C,89%,ENE 2.29 mph,partly-cloudy-night
"Mon 10, Apr 2017 7:00 AM",Partly Cloudy,0%,24 C,87%,ENE 2.21 mph,partly-cloudy-day
"Mon 10, Apr 2017 8:00 AM",Partly Cloudy,0%,25 C,83%,ENE 2.31 mph,partly-cloudy-day
"Mon 10, Apr 2017 9:00 AM",Partly Cloudy,0%,27 C,79%,ENE 2.21 mph,partly-cloudy-day
"Mon 10, Apr 2017 10:00 AM",Partly Cloudy,0%,29 C,75%,ENE 2.01 mph,partly-cloudy-day
"Mon 10, Apr 2017 11:00 AM",Partly Cloudy,1%,30 C,72%,NE 1.58 mph,partly-cloudy-day
"Mon 10, Apr 2017 12:00 PM",Light Rain,68%,29 C,74%,NNE 1.22 mph,rain
"Mon 10, Apr 2017 1:00 PM",Rain,75%,28 C,77%,N 1.35 mph,rain
"Mon 10, Apr 2017 2:00 PM",Rain,74%,27 C,79%,NNE 1.51 mph,rain
"Mon 10, Apr 2017 3:00 PM",Rain,73%,27 C,81%,N 1.51 mph,rain
"Mon 10, Apr 2017 4:00 PM",Light Rain,71%,27 C,80%,NNE 1.6 mph,rain
"Mon 10, Apr 2017 5:00 PM",Light Rain,65%,26 C,81%,NNE 1.69 mph,rain
"Mon 10, Apr 2017 6:00 PM",Light Rain,61%,25 C,83%,NNE 1.8 mph,rain
"Mon 10, Apr 2017 7:00 PM",Light Rain,58%,24 C,85%,NE 2.02 mph,rain
"Mon 10, Apr 2017 8:00 PM",Light Rain,54%,24 C,87%,ENE 2.37 mph,rain
"Mon 10, Apr 2017 9:00 PM",Drizzle,47%,24 C,88%,ENE 2.68 mph,rain
"Mon 10, Apr 2017 10:00 PM",Drizzle,23%,24 C,88%,ENE 3.07 mph,rain
"Mon 10, Apr 2017 11:00 PM",Clear,9%,24 C,88%,ENE 3.36 mph,clear-night
