date,description,precipitation,temperature,humidity,wind,icon
"Sun 02, Apr 2017 12:00 AM",Partly Cloudy,0%,77 F,87%,NE 5.57 mph,partly-cloudy-night
"Sun 02, Apr 2017 1:00 AM",Partly Cloudy,0%,77 F,88%,ENE 6.23 mph,partly-cloudy-night
"Sun 02, Apr 2017 2:00 AM",Mostly Cloudy,0%,77 F,88%,ENE 6.69 mph,partly-cloudy-night
"Sun 02, Apr 2017 3:00 AM",Partly Cloudy,0%,77 F,89%,ENE 6.95 mph,partly-cloudy-night
"Sun 02, Apr 2017 4:00 AM",Partly Cloudy,0%,77 F,90%,E 6.87 mph,partly-cloudy-night
"Sun 02, Apr 2017 5:00 AM",Partly Cloudy,0%,77 F,90%,ENE 6.82 mph,partly-cloudy-night
"Sun 02, Apr 2017 6:00 AM",Partly Cloudy,0%,77 F,89%,ENE 6.69 mph,partly-cloudy-night
"Sun 02, Apr 2017 7:00 AM",Partly Cloudy,1%,78 F,88%,ENE 6.3 mph,partly-cloudy-day
"Sun 02, Apr 2017 8:00 AM",Partly Cloudy,2%,79 F,85%,ENE 6.38 mph,partly-cloudy-day
"Sun 02, Apr 2017 9:00 AM",Partly Cloudy,0%,80 F,81%,ENE 6.81 mph,partly-cloudy-day
"Sun 02, Apr 2017 10:00 AM",Partly Cloudy,0%,82 F,78%,ENE 7.43 mph,partly-cloudy-day
"Sun 02, Apr 2017 11:00 AM",Partly Cloudy,0%,84 F,76%,ENE 7.65 mph,partly-cloudy-day
"Sun 02, Apr 2017 12:00 PM",Partly Cloudy,3%,86 F,75%,ENE 7.94 mph,partly-cloudy-day
"Sun 02, Apr 2017 1:00 PM",Partly Cloudy,17%,88 F,75%,NE 8.1 mph,partly-cloudy-day
"Sun 02, Apr 2017 2:00 PM",Drizzle,30%,87 F,75%,NE 8.17 mph,rain
"Sun 02, Apr 2017 3:00 PM",Light Rain,51%,85 F,76%,NE 8.11 mph,rain
"Sun 02, Apr 2017 4:00 PM",Light Rain,50%,84 F,76%,NE 8.28 mph,rain
"Sun 02, Apr 2017 5:00 PM",Drizzle,45%,83 F,76%,NE 8.31 mph,rain
"Sun 02, Apr 2017 6:00 PM",Drizzle,38%,82 F,79%,NE 8.19 mph,rain
"Sun 02, Apr 2017 7:00 PM",Drizzle,31%,80 F,82%,NE 7.86 mph,rain
"Sun 02, Apr 2017 8:00 PM",Drizzle,22%,79 F,84%,NE 7.76 mph,rain
"Sun 02, Apr 2017 9:00 PM",Partly Cloudy,15%,78 F,85%,NE 7.77 mph,partly-cloudy-night
"Sun 02, Apr 2017 10:00 PM",Partly Cloudy,9%,77 F,86%,NE 7.87 mph,partly-cloudy-night
"Sun 02, Apr 2017 11:00 PM",Partly Cloudy,4%,78 F,87%,NE 7.98 mph,partly-cloudy-night
