date,description,precipitation,temperature,humidity,wind,icon
"Sat 01, Apr 2017 12:00 AM",Partly Cloudy,0%,76 F,84%,ENE 6.98 mph,partly-cloudy-night
"Sat 01, Apr 2017 1:00 AM",Clear,0%,75 F,85%,NE 7.06 mph,clear-night
"Sat 01, Apr 2017 2:00 AM",Clear,0%,75 F,85%,NE 7.02 mph,clear-night
"Sat 01, Apr 2017 3:00 AM",Clear,0%,75 F,86%,NE 6.64 mph,clear-night
"Sat 01, Apr 2017 4:00 AM",Clear,0%,74 F,86%,NE 6.96 mph,clear-night
"Sat 01, Apr 2017 5:00 AM",Clear,0%,74 F,86%,NE 6.93 mph,clear-night
"Sat 01, Apr 2017 6:00 AM",Clear,0%,75 F,86%,NE 6.7 mph,clear-night
"Sat 01, Apr 2017 7:00 AM",Partly Cloudy,0%,76 F,85%,NE 6.49 mph,partly-cloudy-day
"Sat 01, Apr 2017 8:00 AM",Clear,0%,78 F,81%,ENE 7.13 mph,clear-day
"Sat 01, Apr 2017 9:00 AM",Clear,0%,81 F,76%,ENE 7.5 mph,clear-day
"Sat 01, Apr 2017 10:00 AM",Clear,0%,86 F,72%,ENE 7.65 mph,clear-day
"Sat 01, Apr 2017 11:00 AM",Clear,0%,90 F,69%,E 7.68 mph,clear-day
"Sat 01, Apr 2017 12:00 PM",Drizzle,27%,91 F,69%,E 7.24 mph,rain
"Sat 01, Apr 2017 1:00 PM",Light Rain,54%,89 F,71%,E 6.37 mph,rain
"Sat 01, Apr 2017 2:00 PM",Light Rain,62%,87 F,74%,E 5.38 mph,rain
"Sat 01, Apr 2017 3:00 PM",Light Rain,67%,85 F,75%,E 4.69 mph,rain
"Sat 01, Apr 2017 4:00 PM",Rain,74%,84 F,76%,E 5.06 mph,rain
"Sat 01, Apr 2017 5:00 PM",Rain,78%,83 F,77%,E 5.39 mph,rain
"Sat 01, Apr 2017 6:00 PM",Rain,77%,81 F,80%,E 5.7 mph,rain
"Sat 01, Apr 2017 7:00 PM",Light Rain,71%,80 F,84%,ENE 6.11 mph,rain
"Sat 01, Apr 2017 8:00 PM",Light Rain,58%,78 F,87%,ENE 6.55 mph,rain
"Sat 01, Apr 2017 9:00 PM",Partly Cloudy,17%,77 F,88%,ENE 6.4 mph,partly-cloudy-night
"Sat 01, Apr 2017 10:00 PM",Partly Cloudy,3%,77 F,88%,ENE 6.09 mph,partly-cloudy-night
"Sat 01, Apr 2017 11:00 PM",Clear,0%,76 F,88%,ENE 5.89 mph,clear-night
