date,description,precipitation,temperature,humidity,wind,icon
"Wed 22, Mar 2017 12:00 AM",Partly Cloudy,0%,76 F,86%,ENE 7.76 mph,partly-cloudy-night
"Wed 22, Mar 2017 1:00 AM",Mostly Cloudy,0%,75 F,88%,NE 8.23 mph,partly-cloudy-night
"Wed 22, Mar 2017 2:00 AM",Partly Cloudy,0%,75 F,88%,NE 8.42 mph,partly-cloudy-night
"Wed 22, Mar 2017 3:00 AM",Partly Cloudy,0%,75 F,88%,ENE 8.36 mph,partly-cloudy-night
"Wed 22, Mar 2017 4:00 AM",Partly Cloudy,1%,75 F,88%,ENE 8.52 mph,partly-cloudy-night
"Wed 22, Mar 2017 5:00 AM",Partly Cloudy,4%,75 F,88%,ENE 8.84 mph,partly-cloudy-night
"Wed 22, Mar 2017 6:00 AM",Partly Cloudy,10%,75 F,89%,ENE 9.05 mph,partly-cloudy-night
"Wed 22, Mar 2017 7:00 AM",Partly Cloudy,10%,76 F,88%,ENE 9.35 mph,partly-cloudy-day
"Wed 22, Mar 2017 8:00 AM",Drizzle,29%,77 F,86%,ENE 9.77 mph,rain
"Wed 22, Mar 2017 9:00 AM",Drizzle,37%,79 F,81%,ENE 10.25 mph,rain
"Wed 22, Mar 2017 10:00 AM",Mostly Cloudy,14%,81 F,78%,ENE 10.61 mph,partly-cloudy-day
"Wed 22, Mar 2017 11:00 AM",Mostly Cloudy,13%,83 F,76%,E 11.06 mph,partly-cloudy-day
"Wed 22, Mar 2017 12:00 PM",Drizzle,25%,86 F,74%,E 10.86 mph,rain
"Wed 22, Mar 2017 1:00 PM",Light Rain,49%,87 F,72%,E 11.13 mph,rain
"Wed 22, Mar 2017 2:00 PM",Light Rain,55%,87 F,73%,E 10.99 mph,rain
"Wed 22, Mar 2017 3:00 PM",Light Rain,55%,85 F,74%,E 10.28 mph,rain
"Wed 22, Mar 2017 4:00 PM",Light Rain,51%,84 F,74%,E 10.53 mph,rain
"Wed 22, Mar 2017 5:00 PM",Drizzle,39%,83 F,75%,E 10.51 mph,rain
"Wed 22, Mar 2017 6:00 PM",Drizzle,38%,81 F,78%,E 9.97 mph,rain
"Wed 22, Mar 2017 7:00 PM",Drizzle,48%,80 F,81%,E 9 mph,rain
"Wed 22, Mar 2017 8:00 PM",Light Rain,50%,78 F,84%,E 8.3 mph,rain
"Wed 22, Mar 2017 9:00 PM",Drizzle,41%,77 F,86%,ENE 8.25 mph,rain
"Wed 22, Mar 2017 10:00 PM",Drizzle,23%,77 F,86%,ENE 8.57 mph,rain
"Wed 22, Mar 2017 11:00 PM",Mostly Cloudy,12%,77 F,87%,ENE 8.83 mph,partly-cloudy-night
