date,description,precipitation,temperature,humidity,wind,icon
"Sat 01, Apr 2017 12:00 AM",Clear,0%,74 F,81%,NE 6.25 mph,clear-night
"Sat 01, Apr 2017 1:00 AM",Clear,0%,74 F,83%,NE 6.8 mph,clear-night
"Sat 01, Apr 2017 2:00 AM",Clear,0%,74 F,84%,NE 6.85 mph,clear-night
"Sat 01, Apr 2017 3:00 AM",Partly Cloudy,0%,74 F,85%,NE 6.82 mph,partly-cloudy-night
"Sat 01, Apr 2017 4:00 AM",Partly Cloudy,0%,74 F,86%,ENE 6.48 mph,partly-cloudy-night
"Sat 01, Apr 2017 5:00 AM",Partly Cloudy,0%,74 F,86%,ENE 6.77 mph,partly-cloudy-night
"Sat 01, Apr 2017 6:00 AM",Partly Cloudy,0%,74 F,87%,ENE 6.52 mph,partly-cloudy-night
"Sat 01, Apr 2017 7:00 AM",Partly Cloudy,0%,75 F,86%,ENE 6.42 mph,partly-cloudy-day
"Sat 01, Apr 2017 8:00 AM",Partly Cloudy,0%,78 F,82%,ENE 7 mph,partly-cloudy-day
"Sat 01, Apr 2017 9:00 AM",Partly Cloudy,0%,81 F,79%,ENE 7.4 mph,partly-cloudy-day
"Sat 01, Apr 2017 10:00 AM",Partly Cloudy,0%,84 F,75%,ENE 7.7 mph,partly-cloudy-day
"Sat 01, Apr 2017 11:00 AM",Partly Cloudy,1%,87 F,73%,ENE 7.96 mph,partly-cloudy-day
"Sat 01, Apr 2017 12:00 PM",Drizzle,22%,88 F,72%,ENE 8.13 mph,rain
"Sat 01, Apr 2017 1:00 PM",Light Rain,55%,88 F,72%,E 8.21 mph,rain
"Sat 01, Apr 2017 2:00 PM",Light Rain,59%,87 F,73%,E 7.78 mph,rain
"Sat 01, Apr 2017 3:00 PM",Light Rain,62%,85 F,73%,ENE 7.43 mph,rain
"Sat 01, Apr 2017 4:00 PM",Light Rain,66%,84 F,75%,ENE 7.82 mph,rain
"Sat 01, Apr 2017 5:00 PM",Light Rain,68%,82 F,75%,ENE 7.87 mph,rain
"Sat 01, Apr 2017 6:00 PM",Light Rain,67%,81 F,79%,ENE 7.36 mph,rain
"Sat 01, Apr 2017 7:00 PM",Light Rain,63%,79 F,82%,ENE 6.45 mph,rain
"Sat 01, Apr 2017 8:00 PM",Light Rain,58%,78 F,86%,ENE 6.01 mph,rain
"Sat 01, Apr 2017 9:00 PM",Light Rain,52%,76 F,86%,ENE 5.7 mph,rain
"Sat 01, Apr 2017 10:00 PM",Drizzle,32%,76 F,86%,ENE 5.62 mph,rain
"Sat 01, Apr 2017 11:00 PM",Partly Cloudy,14%,76 F,89%,ENE 5.6 mph,partly-cloudy-night
