date,description,precipitation,temperature,humidity,wind,icon
"Fri 24, Mar 2017 12:00 AM",Light Rain,61%,23 C,90%,S 0.25 mph,rain
"Fri 24, Mar 2017 1:00 AM",Light Rain,62%,23 C,91%,NWN 0.41 mph,rain
"Fri 24, Mar 2017 2:00 AM",Light Rain,54%,23 C,92%, 0.41 mph,rain
"Fri 24, Mar 2017 3:00 AM",Drizzle,37%,23 C,92%,NNE 0.31 mph,rain
"Fri 24, Mar 2017 4:00 AM",Drizzle,28%,23 C,93%,NNE 0.45 mph,rain
"Fri 24, Mar 2017 5:00 AM",Partly Cloudy,2%,23 C,92%,NNE 0.55 mph,partly-cloudy-night
"Fri 24, Mar 2017 6:00 AM",Mostly Cloudy,3%,23 C,92%,ENE 0.84 mph,partly-cloudy-night
"Fri 24, Mar 2017 7:00 AM",Mostly Cloudy,9%,23 C,92%,ENE 1.32 mph,partly-cloudy-day
"Fri 24, Mar 2017 8:00 AM",Mostly Cloudy,20%,24 C,89%,E 1.61 mph,partly-cloudy-day
"Fri 24, Mar 2017 9:00 AM",Mostly Cloudy,7%,25 C,84%,E 1.66 mph,partly-cloudy-day
"Fri 24, Mar 2017 10:00 AM",Mostly Cloudy,9%,27 C,80%,E 1.96 mph,partly-cloudy-day
"Fri 24, Mar 2017 11:00 AM",Drizzle,46%,28 C,78%,E 2.2 mph,rain
"Fri 24, Mar 2017 12:00 PM",Light Rain,55%,29 C,78%,E 2.13 mph,rain
"Fri 24, Mar 2017 1:00 PM",Light Rain,58%,28 C,78%,E 2.02 mph,rain
"Fri 24, Mar 2017 2:00 PM",Light Rain,58%,28 C,80%,ENE 2.01 mph,rain
"Fri 24, Mar 2017 3:00 PM",Light Rain,55%,27 C,81%,E 2 mph,rain
"Fri 24, Mar 2017 4:00 PM",Light Rain,57%,27 C,81%,E 1.98 mph,rain
"Fri 24, Mar 2017 5:00 PM",Light Rain,60%,26 C,81%,E 1.93 mph,rain
"Fri 24, Mar 2017 6:00 PM",Light Rain,60%,25 C,83%,E 1.79 mph,rain
"Fri 24, Mar 2017 7:00 PM",Light Rain,57%,25 C,86%,E 1.61 mph,rain
"Fri 24, Mar 2017 8:00 PM",Light Rain,54%,24 C,88%,ENE 1.37 mph,rain
"Fri 24, Mar 2017 9:00 PM",Drizzle,46%,24 C,89%,ENE 1.41 mph,rain
"Fri 24, Mar 2017 10:00 PM",Mostly Cloudy,19%,24 C,89%,ENE 1.51 mph,partly-cloudy-night
"Fri 24, Mar 2017 11:00 PM",Mostly Cloudy,6%,24 C,89%,ENE 1.6 mph,partly-cloudy-night
