date,description,precipitation,temperature,humidity,wind,icon
"Sat 01, Apr 2017 12:00 AM",Clear,0%,75 F,79%,ENE 7.86 mph,clear-night
"Sat 01, Apr 2017 1:00 AM",Clear,0%,75 F,81%,ENE 7.75 mph,clear-night
"Sat 01, Apr 2017 2:00 AM",Clear,0%,75 F,83%,ENE 7.61 mph,clear-night
"Sat 01, Apr 2017 3:00 AM",Clear,0%,75 F,83%,ENE 7.45 mph,clear-night
"Sat 01, Apr 2017 4:00 AM",Partly Cloudy,0%,75 F,84%,ENE 7.23 mph,partly-cloudy-night
"Sat 01, Apr 2017 5:00 AM",Partly Cloudy,0%,75 F,85%,ENE 7.08 mph,partly-cloudy-night
"Sat 01, Apr 2017 6:00 AM",Partly Cloudy,0%,75 F,85%,ENE 6.59 mph,partly-cloudy-night
"Sat 01, Apr 2017 7:00 AM",Partly Cloudy,0%,76 F,86%,ENE 6.46 mph,partly-cloudy-day
"Sat 01, Apr 2017 8:00 AM",Partly Cloudy,0%,78 F,81%,ENE 6.66 mph,partly-cloudy-day
"Sat 01, Apr 2017 9:00 AM",Partly Cloudy,0%,81 F,78%,ENE 6.93 mph,partly-cloudy-day
"Sat 01, Apr 2017 10:00 AM",Partly Cloudy,0%,84 F,74%,ENE 7.81 mph,partly-cloudy-day
"Sat 01, Apr 2017 11:00 AM",Partly Cloudy,0%,87 F,71%,NE 7.88 mph,partly-cloudy-day
"Sat 01, Apr 2017 12:00 PM",Drizzle,41%,88 F,72%,NE 8.82 mph,rain
"Sat 01, Apr 2017 1:00 PM",Light Rain,62%,87 F,73%,NE 9.35 mph,rain
"Sat 01, Apr 2017 2:00 PM",Light Rain,64%,86 F,74%,NE 9.18 mph,rain
"Sat 01, Apr 2017 3:00 PM",Light Rain,68%,85 F,76%,NE 9.38 mph,rain
"Sat 01, Apr 2017 4:00 PM",Light Rain,70%,83 F,76%,NE 9.17 mph,rain
"Sat 01, Apr 2017 5:00 PM",Light Rain,71%,82 F,76%,NE 8.83 mph,rain
"Sat 01, Apr 2017 6:00 PM",Light Rain,71%,81 F,79%,ENE 8.71 mph,rain
"Sat 01, Apr 2017 7:00 PM",Light Rain,67%,79 F,81%,ENE 8.64 mph,rain
"Sat 01, Apr 2017 8:00 PM",Light Rain,61%,78 F,84%,ENE 8.72 mph,rain
"Sat 01, Apr 2017 9:00 PM",Light Rain,54%,78 F,84%,ENE 8.17 mph,rain
"Sat 01, Apr 2017 10:00 PM",Drizzle,23%,77 F,85%,ENE 7.5 mph,rain
"Sat 01, Apr 2017 11:00 PM",Partly Cloudy,0%,77 F,88%,E 6.97 mph,partly-cloudy-night
