date,description,precipitation,temperature,humidity,wind,icon
"Mon 10, Apr 2017 12:00 AM",Light Rain,71%,24 C,88%,NNE 1.52 mph,rain
"Mon 10, Apr 2017 1:00 AM",Light Rain,70%,24 C,89%,NNE 1.9 mph,rain
"Mon 10, Apr 2017 2:00 AM",Light Rain,64%,24 C,89%,NE 1.75 mph,rain
"Mon 10, Apr 2017 3:00 AM",Light Rain,52%,24 C,88%,NE 1.86 mph,rain
"Mon 10, Apr 2017 4:00 AM",Partly Cloudy,15%,24 C,88%,NE 1.67 mph,partly-cloudy-night
"Mon 10, Apr 2017 5:00 AM",Clear,2%,24 C,89%,ENE 2.09 mph,clear-night
"Mon 10, Apr 2017 6:00 AM",Partly Cloudy,5%,24 C,89%,ENE 1.78 mph,partly-cloudy-night
"Mon 10, Apr 2017 7:00 AM",Partly Cloudy,20%,24 C,87%,ENE 2.41 mph,partly-cloudy-day
"Mon 10, Apr 2017 8:00 AM",Drizzle,29%,26 C,83%,ENE 2.7 mph,rain
"Mon 10, Apr 2017 9:00 AM",Light Rain,52%,27 C,80%,ENE 3.08 mph,rain
"Mon 10, Apr 2017 10:00 AM",Light Rain,61%,28 C,77%,E 3.59 mph,rain
"Mon 10, Apr 2017 11:00 AM",Light Rain,56%,29 C,77%,E 4.07 mph,rain
"Mon 10, Apr 2017 12:00 PM",Light Rain,58%,29 C,75%,E 4.12 mph,rain
"Mon 10, Apr 2017 1:00 PM",Light Rain,62%,29 C,75%,E 3.71 mph,rain
"Mon 10, Apr 2017 2:00 PM",Light Rain,69%,28 C,76%,E 3.38 mph,rain
"Mon 10, Apr 2017 3:00 PM",Light Rain,72%,28 C,76%,E 3.4 mph,rain
"Mon 10, Apr 2017 4:00 PM",Light Rain,71%,27 C,76%,E 3.78 mph,rain
"Mon 10, Apr 2017 5:00 PM",Light Rain,70%,26 C,77%,E 4.04 mph,rain
"Mon 10, Apr 2017 6:00 PM",Light Rain,68%,26 C,79%,E 4.14 mph,rain
"Mon 10, Apr 2017 7:00 PM",Light Rain,64%,25 C,81%,E 4.11 mph,rain
"Mon 10, Apr 2017 8:00 PM",Light Rain,58%,24 C,83%,E 4.1 mph,rain
"Mon 10, Apr 2017 9:00 PM",Light Rain,53%,24 C,83%,ENE 4.03 mph,rain
"Mon 10, Apr 2017 10:00 PM",Drizzle,38%,24 C,84%,ENE 3.97 mph,rain
"Mon 10, Apr 2017 11:00 PM",Drizzle,23%,24 C,84%,ENE 3.94 mph,rain
