date,description,precipitation,temperature,humidity,wind,icon
"Fri 24, Mar 2017 12:00 AM",Light Rain,67%,74 F,93%,S 2.06 mph,rain
"Fri 24, Mar 2017 1:00 AM",Light Rain,63%,73 F,94%,S 1.34 mph,rain
"Fri 24, Mar 2017 2:00 AM",Light Rain,59%,73 F,93%,SE 1.33 mph,rain
"Fri 24, Mar 2017 3:00 AM",Light Rain,56%,73 F,92%,SE 1.51 mph,rain
"Fri 24, Mar 2017 4:00 AM",Drizzle,32%,74 F,93%,ESE 1.8 mph,rain
"Fri 24, Mar 2017 5:00 AM",Light Rain,52%,74 F,93%,E 1.86 mph,rain
"Fri 24, Mar 2017 6:00 AM",Mostly Cloudy,17%,74 F,93%,E 2.54 mph,partly-cloudy-night
"Fri 24, Mar 2017 7:00 AM",Overcast,4%,74 F,92%,E 3.43 mph,cloudy
"Fri 24, Mar 2017 8:00 AM",Overcast,5%,76 F,88%,E 3.81 mph,cloudy
"Fri 24, Mar 2017 9:00 AM",Drizzle,22%,79 F,84%,ENE 4.39 mph,rain
"Fri 24, Mar 2017 10:00 AM",Light Rain,53%,81 F,81%,ENE 4.91 mph,rain
"Fri 24, Mar 2017 11:00 AM",Light Rain,58%,83 F,79%,ENE 6.21 mph,rain
"Fri 24, Mar 2017 12:00 PM",Light Rain,57%,85 F,78%,ENE 6.77 mph,rain
"Fri 24, Mar 2017 1:00 PM",Light Rain,60%,83 F,79%,ENE 6.79 mph,rain
"Fri 24, Mar 2017 2:00 PM",Light Rain,59%,82 F,81%,ENE 6.57 mph,rain
"Fri 24, Mar 2017 3:00 PM",Light Rain,58%,81 F,81%,E 6.78 mph,rain
"Fri 24, Mar 2017 4:00 PM",Light Rain,61%,80 F,81%,E 6.69 mph,rain
"Fri 24, Mar 2017 5:00 PM",Light Rain,62%,80 F,82%,E 6.52 mph,rain
"Fri 24, Mar 2017 6:00 PM",Light Rain,60%,78 F,83%,E 6.15 mph,rain
"Fri 24, Mar 2017 7:00 PM",Light Rain,55%,77 F,86%,E 5.68 mph,rain
"Fri 24, Mar 2017 8:00 PM",Drizzle,40%,76 F,88%,E 5.05 mph,rain
"Fri 24, Mar 2017 9:00 PM",Drizzle,21%,75 F,89%,E 5.01 mph,rain
"Fri 24, Mar 2017 10:00 PM",Mostly Cloudy,13%,76 F,89%,E 5.08 mph,partly-cloudy-night
"Fri 24, Mar 2017 11:00 PM",Mostly Cloudy,11%,76 F,89%,E 5.17 mph,partly-cloudy-night
