date,description,precipitation,temperature,humidity,wind,icon
"Sat 01, Apr 2017 12:00 AM",Partly Cloudy,0%,75 F,80%,ENE 7.6 mph,partly-cloudy-night
"Sat 01, Apr 2017 1:00 AM",Partly Cloudy,0%,74 F,81%,ENE 7.44 mph,partly-cloudy-night
"Sat 01, Apr 2017 2:00 AM",Partly Cloudy,0%,74 F,83%,ENE 7.29 mph,partly-cloudy-night
"Sat 01, Apr 2017 3:00 AM",Partly Cloudy,0%,74 F,84%,ENE 7.14 mph,partly-cloudy-night
"Sat 01, Apr 2017 4:00 AM",Partly Cloudy,0%,74 F,84%,ENE 6.95 mph,partly-cloudy-night
"Sat 01, Apr 2017 5:00 AM",Partly Cloudy,0%,74 F,85%,ENE 6.75 mph,partly-cloudy-night
"Sat 01, Apr 2017 6:00 AM",Partly Cloudy,0%,74 F,85%,ENE 6.24 mph,partly-cloudy-night
"Sat 01, Apr 2017 7:00 AM",Partly Cloudy,0%,75 F,85%,ENE 6.14 mph,partly-cloudy-day
"Sat 01, Apr 2017 8:00 AM",Partly Cloudy,0%,78 F,81%,ENE 6.28 mph,partly-cloudy-day
"Sat 01, Apr 2017 9:00 AM",Partly Cloudy,0%,81 F,78%,ENE 6.57 mph,partly-cloudy-day
"Sat 01, Apr 2017 10:00 AM",Partly Cloudy,0%,86 F,73%,NE 7.43 mph,partly-cloudy-day
"Sat 01, Apr 2017 11:00 AM",Partly Cloudy,0%,89 F,70%,NE 7.52 mph,partly-cloudy-day
"Sat 01, Apr 2017 12:00 PM",Drizzle,47%,90 F,71%,NE 8.35 mph,rain
"Sat 01, Apr 2017 1:00 PM",Light Rain,62%,88 F,72%,NE 8.78 mph,rain
"Sat 01, Apr 2017 2:00 PM",Light Rain,66%,86 F,74%,NE 8.67 mph,rain
"Sat 01, Apr 2017 3:00 PM",Light Rain,69%,83 F,76%,NE 8.97 mph,rain
"Sat 01, Apr 2017 4:00 PM",Light Rain,73%,82 F,77%,NE 8.77 mph,rain
"Sat 01, Apr 2017 5:00 PM",Rain,75%,81 F,77%,NE 8.42 mph,rain
"Sat 01, Apr 2017 6:00 PM",Rain,74%,80 F,80%,NE 8.22 mph,rain
"Sat 01, Apr 2017 7:00 PM",Light Rain,70%,79 F,82%,ENE 8.09 mph,rain
"Sat 01, Apr 2017 8:00 PM",Light Rain,63%,78 F,85%,ENE 8.13 mph,rain
"Sat 01, Apr 2017 9:00 PM",Light Rain,54%,77 F,85%,ENE 7.62 mph,rain
"Sat 01, Apr 2017 10:00 PM",Drizzle,23%,77 F,85%,ENE 7 mph,rain
"Sat 01, Apr 2017 11:00 PM",Clear,0%,76 F,88%,E 6.49 mph,clear-night
