date,description,precipitation,temperature,humidity,wind,icon
"Sat 01, Apr 2017 12:00 AM",Clear,0%,71 F,82%,NE 5.76 mph,clear-night
"Sat 01, Apr 2017 1:00 AM",Clear,0%,71 F,84%,NE 6.01 mph,clear-night
"Sat 01, Apr 2017 2:00 AM",Clear,0%,71 F,85%,NE 5.93 mph,clear-night
"Sat 01, Apr 2017 3:00 AM",Clear,0%,71 F,86%,NE 5.82 mph,clear-night
"Sat 01, Apr 2017 4:00 AM",Clear,0%,71 F,86%,NE 5.52 mph,clear-night
"Sat 01, Apr 2017 5:00 AM",Partly Cloudy,0%,71 F,87%,NE 5.53 mph,partly-cloudy-night
"Sat 01, Apr 2017 6:00 AM",Partly Cloudy,0%,72 F,87%,NE 5.3 mph,partly-cloudy-night
"Sat 01, Apr 2017 7:00 AM",Partly Cloudy,0%,73 F,87%,NE 5.27 mph,partly-cloudy-day
"Sat 01, Apr 2017 8:00 AM",Partly Cloudy,0%,77 F,81%,ENE 6.07 mph,partly-cloudy-day
"Sat 01, Apr 2017 9:00 AM",Partly Cloudy,0%,82 F,77%,ENE 6.8 mph,partly-cloudy-day
"Sat 01, Apr 2017 10:00 AM",Partly Cloudy,0%,87 F,71%,ENE 7.26 mph,partly-cloudy-day
"Sat 01, Apr 2017 11:00 AM",Partly Cloudy,0%,91 F,68%,E 7.54 mph,partly-cloudy-day
"Sat 01, Apr 2017 12:00 PM",Light Rain,50%,92 F,68%,E 7.5 mph,rain
"Sat 01, Apr 2017 1:00 PM",Light Rain,61%,91 F,69%,E 7.37 mph,rain
"Sat 01, Apr 2017 2:00 PM",Light Rain,67%,88 F,70%,E 6.64 mph,rain
"Sat 01, Apr 2017 3:00 PM",Light Rain,70%,86 F,72%,E 6.31 mph,rain
"Sat 01, Apr 2017 4:00 PM",Rain,76%,84 F,74%,E 6.77 mph,rain
"Sat 01, Apr 2017 5:00 PM",Rain,79%,82 F,75%,E 6.94 mph,rain
"Sat 01, Apr 2017 6:00 PM",Rain,78%,80 F,79%,E 6.76 mph,rain
"Sat 01, Apr 2017 7:00 PM",Rain,73%,78 F,82%,ENE 6.4 mph,rain
"Sat 01, Apr 2017 8:00 PM",Light Rain,65%,76 F,85%,ENE 6.24 mph,rain
"Sat 01, Apr 2017 9:00 PM",Light Rain,54%,75 F,86%,ENE 5.84 mph,rain
"Sat 01, Apr 2017 10:00 PM",Drizzle,23%,75 F,86%,ENE 5.43 mph,rain
"Sat 01, Apr 2017 11:00 PM",Clear,2%,74 F,89%,ENE 5.17 mph,clear-night
